"Title","video_url","Published_date","Views"
"Keep Crash Course Free Forever!","https://www.youtube.com/watch?v=P6AexVtglcQ","2023-05-30",36045
"What Are Plants Made Of? Crash Course Botany #2","https://www.youtube.com/watch?v=9AEzixu_xZk","2023-05-25",41256
"NEW Crash Course Biology Series!","https://www.youtube.com/watch?v=PWGBqskV1UQ","2023-05-23",19999
"What is Botany? Crash Course Botany #1","https://www.youtube.com/watch?v=2th5lAd-77A","2023-05-18",98209
"Crash Course Botany Preview!","https://www.youtube.com/watch?v=WACSnwKby2Y","2023-05-11",30493
"How Can We Respond to Climate Change?: Crash Course Climate & Energy #12","https://www.youtube.com/watch?v=3p51wKUuwOU","2023-04-26",39787
"The Hidden Price of Climate Change: Crash Course Climate & Energy #11","https://www.youtube.com/watch?v=ML70W4O6F4E","2023-04-12",42774
"International Climate Agreements: Crash Course Climate & Energy #10","https://www.youtube.com/watch?v=Z5YvjG4lTpQ","2023-04-05",26510
"Are Natural Disasters Actually Natural?: Crash Course Climate & Energy #9","https://www.youtube.com/watch?v=7ODrQW0vSmA","2023-03-22",43421
"How Will Climate Change Continue to Affect Us?: Crash Course Climate & Energy #8","https://www.youtube.com/watch?v=eVUuwHGLIYo","2023-03-15",47018
"Can We Capture Greenhouse Gases?: Crash Course Climate & Energy #7","https://www.youtube.com/watch?v=bjIXPPlg1TQ","2023-03-02",47164
"Can We Gas Up... Without Gas?: Crash Course Climate & Energy #6","https://www.youtube.com/watch?v=1-YtC3nwWwU","2023-02-15",50909
"Can We Keep Warm and Stay Cool Without Fossil Fuels?: Crash Course Climate & Energy #5","https://www.youtube.com/watch?v=3yH5TuLYRcs","2023-02-01",60306
"How Can We Store Renewable Energy?: Crash Course Climate & Energy #4","https://www.youtube.com/watch?v=rDkaZWirNME","2023-01-18",83983
"Can We Make Electricity Without Fossil Fuels?: Crash Course Climate & Energy #3","https://www.youtube.com/watch?v=pT7vRUGeEtA","2023-01-04",93535
"Why Do We Release So Much Gas?: Crash Course Climate & Energy #2","https://www.youtube.com/watch?v=Q26Z4JWVZvk","2022-12-21",63083
"What is Climate Change?: Crash Course Climate & Energy #1","https://www.youtube.com/watch?v=9PFhrpyWV-w","2022-12-07",120964
"Crash Course Climate & Energy Preview","https://www.youtube.com/watch?v=dhFlDkES6Ws","2022-11-30",62419
"Black Lives Matter: Crash Course Black American History #51","https://www.youtube.com/watch?v=i_OU4EcWQ6I","2022-11-09",114483
"Barack Obama: Crash Course Black American History #50","https://www.youtube.com/watch?v=VKWEwBxDd9k","2022-11-02",106345
"Hurricane Katrina: Crash Course Black American History #49","https://www.youtube.com/watch?v=VmqZvlj07-w","2022-10-19",102567
"The Future of Public Health: Crash Course Public Health #10","https://www.youtube.com/watch?v=VvRr0oL6s_E","2022-10-06",82574
"Toni Morrison: Crash Course Black American History #48","https://www.youtube.com/watch?v=CbzLFgW_Wgc","2022-10-05",56772
"Global Health: Crash Course Public Health #9","https://www.youtube.com/watch?v=2rfRk_mTf7M","2022-09-29",56965
"How Laws Affect Your Health: Crash Course Public Health #8","https://www.youtube.com/watch?v=Z08sh4PN8Lc","2022-09-22",53148
"Rap and Hip Hop: Crash Course Black American History #47","https://www.youtube.com/watch?v=RHCA5b9TkVg","2022-09-20",135590
"Which Healthcare System is Best? Crash Course Public Health #7","https://www.youtube.com/watch?v=vxvhGj9fA3g","2022-09-15",70723
"Intro to Epidemiology: Crash Course Public Health #6","https://www.youtube.com/watch?v=_luU3I03JwE","2022-09-08",74801
"Anita Hill and Clarence Thomas: Crash Course Black American History #46","https://www.youtube.com/watch?v=t_uMce7lK94","2022-09-06",60455
"Stress is Bad for Your Health: Crash Course Public Health #5","https://www.youtube.com/watch?v=rKaG9VaM0pw","2022-09-01",95871
"Los Angeles Uprisings: Crash Course Black American History #45","https://www.youtube.com/watch?v=prKS4YsSnmE","2022-08-26",70198
"How Society Affects Your Health: Crash Course Public Health #4","https://www.youtube.com/watch?v=CcdSeqqMR5M","2022-08-25",65449
"How the Environment Affects Your Health: Crash Course Public Health #3","https://www.youtube.com/watch?v=g3vf0I_j9kk","2022-08-18",96518
"How Your Biology Affects Your Health: Crash Course Public Health #2","https://www.youtube.com/watch?v=SzsifG0UvTM","2022-08-11",77713
"Jesse Jackson: Crash Course Black American History #44","https://www.youtube.com/watch?v=C2vl1mixqLU","2022-08-09",53852
"What is Public Health? Crash Course Public Health #1","https://www.youtube.com/watch?v=5aww-Bpgkf4","2022-08-04",81696
"Shirley Chisholm: Crash Course Black American History #43","https://www.youtube.com/watch?v=ATfkyVN7M5c","2022-07-27",64899
"Crash Course Public Health Preview!","https://www.youtube.com/watch?v=PjdJ19ugXzQ","2022-07-21",60070
"Celebration and Lifelong Learning | How to College | Crash Course","https://www.youtube.com/watch?v=ItlvHgot7MQ","2022-07-14",35258
"The War on Drugs: Crash Course Black American History #42","https://www.youtube.com/watch?v=shGpC_WVDQk","2022-07-13",122966
"Finances After College | How to College | Crash Course","https://www.youtube.com/watch?v=wlM0WTPNup0","2022-07-07",41544
"After College | How to College | Crash Course","https://www.youtube.com/watch?v=i4XTHxWBOXs","2022-06-30",46796
"Marsha P. Johnson and the Stonewall Rebellion: Crash Course Black American History #41","https://www.youtube.com/watch?v=ftcvaJCKVjs","2022-06-29",66197
"How to Graduate | How to College | Crash Course","https://www.youtube.com/watch?v=V16qfhdIK6M","2022-06-23",39356
"Your Mental Health in College | How to College | Crash Course","https://www.youtube.com/watch?v=l_9PchV6PIc","2022-06-16",72277
"Women and the Black Power Movement: Crash Course Black American History #40","https://www.youtube.com/watch?v=j-OMR3h4Isw","2022-06-14",71830
"How to Work in College | Crash Course | How to College","https://www.youtube.com/watch?v=rnjeJxO_vs4","2022-06-02",62147
