"Title","video_url","Published_date","Views"
"Cybersecurity ROADMAP for STUDENTS after 12th | Resources, Books, Colleges, Jobs","https://www.youtube.com/watch?v=HC7ON_8zJto","2023-05-19",7910
"CyberSecurity Giveaway Winners !! | New Year Giveaway results","https://www.youtube.com/watch?v=A48RnDUplyY","2023-01-01",3742
"BIGGEST Cyber Security Giveaway !🤯 |CryptoKnight","https://www.youtube.com/watch?v=UNFz-xV2PY4","2022-12-11",8834
"Learn Bug Bounty using Artificial Intelligence🤯 | ChatGPT | Cyber Security Projects, Nuclei, XSS","https://www.youtube.com/watch?v=V9Rz4RktDvE","2022-12-02",39490
"Cyber Security JOB interview Questions - Top 20 | CryptoKnight","https://www.youtube.com/watch?v=VcGfBc9DkU8","2022-11-13",5266
"Top 20 Cyber Security Job Interview Questions and Answers - Part 1 | CryptoKnight","https://www.youtube.com/watch?v=RFuzX1fkSM0","2022-11-07",12714
"UBER HACKED by 18year old ?! | How it was done - All details so far","https://www.youtube.com/watch?v=vTCuJCa31-4","2022-09-17",35899
"[2023] Cyber Security Career in INDIA | Certifications, Jobs, Salary","https://www.youtube.com/watch?v=4Z1KEshccw4","2022-09-09",237751
"Books for BUG BOUNTY - Super Important.  #bugbounty #roadto100k #cybersecurity #india #hackerone","https://www.youtube.com/watch?v=rvm_zqSFiPs","2022-07-30",41155
"Real Hacker Reacts to Hacking Scene from Snowden 2016 | [HINDI]","https://www.youtube.com/watch?v=WaNBlDeqzU0","2022-07-27",14425
"IDN Homograph Attack, Open Redirects and more | Cybersecurity Awareness 💀","https://www.youtube.com/watch?v=VK-ZSsAgVlI","2022-05-31",6552
"Complete CYBER SECURITY Roadmap 😎","https://www.youtube.com/watch?v=IXhLVORrr3A","2022-05-19",90684
"@HackerOneTV sent me a Mystery BOX ! 🤩","https://www.youtube.com/watch?v=TdncEi1bc54","2022-05-15",15877
"I Became HackerOne Brand Ambassador from INDIA ! 🇮🇳","https://www.youtube.com/watch?v=xwHNc4rBpg0","2021-12-31",14362
"$2000 for Log4j Vulnerability !?? Bug Bounty | My Experience and Tips","https://www.youtube.com/watch?v=8ewPEt1BqSE","2021-12-21",20572
"Cybersecurity Job - Pentesting | What happens Behind The Scenes ?","https://www.youtube.com/watch?v=ecmSPING6y0","2021-07-23",23597
"Cybersecurity's Future in India | Salary Abroad ? | CryptoKnight","https://www.youtube.com/watch?v=i8ahHgryAiQ","2021-07-16",53952
"Cyber Blitz Ep1 : India Under Cyber Attack ? | Linux Updates | How to know if you are safe online","https://www.youtube.com/watch?v=3CJpv8D6nyI","2021-03-03",15870
"Cyber Security Internship in India - Before 28th February 2021 | How to apply ?","https://www.youtube.com/watch?v=4m0sSraoKE0","2021-02-15",31540
"How Elon Musk Became Richest on the Planet ? | CryptoKnight","https://www.youtube.com/watch?v=ZOLhxmmJaUQ","2021-01-30",8935
"Should You start Vlogging in 2021 ? | Music for Vlogs, Vlogging Tips","https://www.youtube.com/watch?v=TeYXV2uMyJ4","2020-12-24",17521
"Python for Beginners - [ENGLISH]","https://www.youtube.com/watch?v=mqtXCUg7aqM","2020-12-17",33457
"Announcement - Lets Learn Coding !!","https://www.youtube.com/watch?v=pvQiFTLKg7I","2020-12-06",21267
"Coding Languages to Learn in 2021 !","https://www.youtube.com/watch?v=X4W6FHsMGIw","2020-12-05",23844
"Learning Cyber Security | Career, Jobs, Certifications","https://www.youtube.com/watch?v=axS1cYf5luI","2020-11-14",171878
"Lenovo Legion 5i Best Laptop for Cyber Security ? Genuine Review + Unboxing","https://www.youtube.com/watch?v=N_hDja6mGjI","2020-10-31",103816
"My Cyber Security Journey | How I started ...","https://www.youtube.com/watch?v=3sgirknETZE","2020-10-18",89737
"Taken Over by CryptoKnight","https://www.youtube.com/watch?v=3rqDD1a7hd8","2020-08-05",24991
"Reason @CarryisLive was ..... | Secure Your YouTube Channel","https://www.youtube.com/watch?v=nIXHvZ0TyMA","2020-07-26",49301
"Answering Your Questions !","https://www.youtube.com/watch?v=WNyyxozJ0d0","2020-07-05",17871
"My OSCP Journey  | cracked OSCP at 20","https://www.youtube.com/watch?v=fkNozXlrB6I","2020-06-14",262976
"Apple Bug Bounty $100,000 EXPLAINED | Beginners approach","https://www.youtube.com/watch?v=Cty7vrxvZgI","2020-06-07",113078
"You Can DO IT, Never fear FAILURE | Motivational Video by @cryptoknight01","https://www.youtube.com/watch?v=cs9hI1G6hkg","2020-05-29",9929
"Your PC is All Mine *scary*","https://www.youtube.com/watch?v=mJrojFhRUHk","2020-05-25",126578
"How to start Cyber Security Career in INDIA ? | Salary, Scope, Jobs, Resources","https://www.youtube.com/watch?v=i_HXl8dFUnk","2020-05-10",979005
"Day in life of a Cyber Security Guy in India","https://www.youtube.com/watch?v=yNANg4OtiF8","2020-02-23",303570
"Vlogging Anthem 2020 [Official music video]","https://www.youtube.com/watch?v=Y6HmJEE5VZ0","2019-12-27",6777
"4 years at LNMIIT, Jaipur - Story of My college Life","https://www.youtube.com/watch?v=RK4otPNzg0Q","2019-11-24",20681
"How to Open Instagram links in Youtube App (NOT youtube Website) | Tutorial","https://www.youtube.com/watch?v=GSzb_ZnCmeY","2019-11-18",24317
"HOW Mumbiker Nikhil's Email ID was Forged ? | LIVE EXAMPLE ! SPREAD AWARENESS","https://www.youtube.com/watch?v=ymBtA_xCkE0","2019-10-10",5401
"The Herane Vlogs Live Stream","https://www.youtube.com/watch?v=ebt9tJmoMXY","2019-05-31",0
