"Title","video_url","Published_date","Views"
"How I Turn Packet Captures Into Network Maps Instantly With Teleseer (Demo Tutorial)","https://www.youtube.com/watch?v=at7ePLucQp4","2022-11-02",20494
"What Makes Israel So Good at Hacking?","https://www.youtube.com/watch?v=IluKcbamqfk","2022-09-01",1283860
"How to Learn Cyber Security Faster In 5 Simple Steps","https://www.youtube.com/watch?v=gpI6RUQ56Ek","2022-05-31",204720
"This Powerful Cyber Security Tool Will Save You Hours of Work Every Day","https://www.youtube.com/watch?v=_qCn_CzEx7c","2022-04-22",22398
"How Building a Cyber Security Startup Ruined My Life (why I’d do it again!)","https://www.youtube.com/watch?v=nWA6AL5dVXc","2022-03-19",71587
"How To Pass a SANS Cyber Security Exam in 5 DAYS (No books…)","https://www.youtube.com/watch?v=oe8JfGg_1n8","2021-05-25",104520
"Why VPNs are a WASTE of Your Money (usually…)","https://www.youtube.com/watch?v=9_b8Z2kAFyY","2021-04-15",1067239
"Cyber Defense Tips to Rival the NSA","https://www.youtube.com/watch?v=FxjGktOwTQM","2021-02-20",31187
"How to Fail a Cybersecurity Interview","https://www.youtube.com/watch?v=btGvsbieePs","2021-02-11",30484
"How to Prepare for a Cyber Security Interview (w/ Stephen Semmelroth)","https://www.youtube.com/watch?v=W7agCnQqKh4","2021-02-02",44293
"Life of a DevSecOps Engineer (w/ Aras Russ Memisyazici)","https://www.youtube.com/watch?v=1SL_sxsEB5o","2021-01-16",38172
"Mask Your Emails with SimpleLogin (w/ Son Nguyen)","https://www.youtube.com/watch?v=ev048iqDZC8","2021-01-11",20207
"How To Deal With Arrogant People in Cyber Security","https://www.youtube.com/watch?v=SymftjbM-E8","2020-12-27",19401
"What is Cyber Insurance? (w/ Daniel Kasper)","https://www.youtube.com/watch?v=8lH_Z1otQfM","2020-12-21",13065
"What Is the Future of Cyberspace? (w/ Roderick Jones)","https://www.youtube.com/watch?v=sqXa29dnaPQ","2020-12-01",9387
"RunCode: Practical Programming Challenges (w/ Josh Rykowski)","https://www.youtube.com/watch?v=qV11RrkPTUI","2020-11-17",8470
"Real Hacking: Learn The Cyber Kill Chain","https://www.youtube.com/watch?v=oCUrkc_0tmw","2020-11-11",80114
"​Why Good SOC Analysts Know Offense & Defense","https://www.youtube.com/watch?v=nit5LBiYcNo","2020-11-01",12175
"Life of a SOC Lead (w/ Alberto Rodriguez)","https://www.youtube.com/watch?v=5oGQNu4CJL8","2020-10-24",33840
"Is Coding Important for Cyber Security?","https://www.youtube.com/watch?v=ID3_gbiXIUc","2020-10-16",324964
"Why Cyber Security is Hard to Learn (Tips For Success!)","https://www.youtube.com/watch?v=vI79qT4lcfA","2020-10-08",671226
"Cyber Crime and Hunting Cyber Criminals","https://www.youtube.com/watch?v=x0tL4U22SI8","2020-10-02",47103
"How North Korea Conducts Cyber Operations","https://www.youtube.com/watch?v=KN1oWeGDfQA","2020-09-24",47867
"How to Redirect Text Input/Output in Linux (cat, tee)","https://www.youtube.com/watch?v=DwfncFCrkHc","2020-09-12",12463
"How to Become a Red Team Operator","https://www.youtube.com/watch?v=nSTAkhe-gh0","2020-09-07",54824
"OSINT: Sharpen Your Cyber Skills With Open-source Intelligence","https://www.youtube.com/watch?v=g5UHijJ_Jo0","2020-08-31",161034
"What's It Like As A Red Team Operator? (w/ Chris M.)","https://www.youtube.com/watch?v=AkvjstCXpqg","2020-08-18",90748
"How to Use Command-Line Reference Tools in Linux (apropos, which, whereis, whatis)","https://www.youtube.com/watch?v=2f2C7QJrFuo","2020-08-14",5289
"Why You Need a DIFFERENT EMAIL Address for Every Account","https://www.youtube.com/watch?v=RsrpL3lx9JE","2020-08-07",69819
"How to Add and Remove Folders in Linux (rmdir, mkdir, pushd)","https://www.youtube.com/watch?v=7YwYQAN33cA","2020-07-21",3615
"CallStranger: Another UPnP Vulnerability (Overview)","https://www.youtube.com/watch?v=jnZd4XBMDj0","2020-07-12",9047
"4 Best Ways to Send Files to Yourself","https://www.youtube.com/watch?v=53LebnPRI5w","2020-06-30",38994
"Remote Work Secrets for the Coming IT/Cyber Boom (Look Good, Sound Good)","https://www.youtube.com/watch?v=zWDqHxq-P60","2020-05-17",28686
"Shopping the Darknet for PANDEMIC Protection Gear","https://www.youtube.com/watch?v=GhP1hRpMESg","2020-05-08",17026
"How to Copy, Move, Remove Files in Linux (mv, cp, rm)","https://www.youtube.com/watch?v=QpV2qnakpOo","2020-03-21",5811
"How to Navigate the Command Line in Linux (cd, ls)","https://www.youtube.com/watch?v=5QQoKZamqpU","2020-03-13",19293
"Virtualbox Tutorial: How to Build Virtual Machines","https://www.youtube.com/watch?v=lzRMYTf6X2o","2020-03-06",62906
"The Password Manager Security Experts Use","https://www.youtube.com/watch?v=V6xuKoJhpEg","2020-02-18",142695
"Why Diceware is Best for Strong Passwords","https://www.youtube.com/watch?v=Z15kFt00poQ","2020-02-07",22791
"Getting Into Cyber Security: 5 Skills You NEED to Learn","https://www.youtube.com/watch?v=Kx4y9c7w2JQ","2020-01-30",2400239
