"Title","video_url","Published_date","Views"
"ASYNC too Fast? Sync too Slow? Use THIS","https://www.youtube.com/watch?v=zZSAQxdJFcQ","2023-05-28",2276
"Supercharge Your Scraper With ASYNC (here's how)","https://www.youtube.com/watch?v=1QyORzuRedE","2023-05-21",2056
"Modern HTML Scraping with Pythons BEST Tools","https://www.youtube.com/watch?v=iRR-kv-3u_c","2023-05-14",1952
"Large JSON Response from an API Call? Try This","https://www.youtube.com/watch?v=xzxWLVCUvLo","2023-05-10",1615
"Are CLI Frameworks Worth it? Trying TYPER","https://www.youtube.com/watch?v=vnDNoBn1Jf4","2023-05-07",1795
"3 Ways To Scrape Infinite Scroll Sites with Playwright","https://www.youtube.com/watch?v=VDf7nfjLwRU","2023-04-22",3513
"Scraping Amazon Data, Should you use their API?","https://www.youtube.com/watch?v=hKlwOTMlShI","2023-04-19",1396
"Beginner Freelancer Mistake Revealed: What You Must Do Before Starting Work!","https://www.youtube.com/watch?v=npDE9qoXi_A","2023-04-18",1362
"The Biggest Mistake I Made When Starting Freelancing","https://www.youtube.com/watch?v=_SDkkb80AEk","2023-04-14",3624
"Why I don't use the best Web Scraping Framework","https://www.youtube.com/watch?v=qX0jZqlmO2o","2023-03-29",5677
"Web Scraping Made Easy Using this Method.","https://www.youtube.com/watch?v=UvFphlHWchU","2023-03-26",4402
"You Should Make Your OWN HTTP Clients for APIs (Shopify x Python)","https://www.youtube.com/watch?v=sTefsbUCLL0","2023-03-22",2271
"How To Parse Data Scraped from SCRIPT tags","https://www.youtube.com/watch?v=0MjH90eS9-w","2023-03-15",3250
"Try THIS Simple Python Decorator (It's Super Useful)","https://www.youtube.com/watch?v=4WQba4KwmRs","2023-03-08",4886
"Flatten Lists of Lists with |Itertools CHAIN","https://www.youtube.com/watch?v=-vmwfiky5QA","2023-03-07",2258
"Don't Keep Requesting API Data, DO THIS!","https://www.youtube.com/watch?v=GAGM7HddbEk","2023-02-27",6705
"How I Film My YouTube Videos","https://www.youtube.com/watch?v=_7pAlxV73ig","2023-02-17",1590
"Scraping multiples websites with one Python script","https://www.youtube.com/watch?v=tGejYtmppQI","2023-02-16",9107
"My Top 5 Neovim Colourschemes","https://www.youtube.com/watch?v=s4_6c4_Cr90","2023-02-15",2754
"Automate your job with Python","https://www.youtube.com/watch?v=qYSWWGz9Z6s","2023-02-10",17782
"Named Slices in Python Improves Readability","https://www.youtube.com/watch?v=v4Z_Nwb4fgw","2023-02-07",7349
"Easy Executable with GOlang","https://www.youtube.com/watch?v=8YP378HHgdE","2023-02-03",1439
"Web Scraping with GO... Easy AND Fast?!","https://www.youtube.com/watch?v=wUSgA8WEy4Q","2023-02-03",5995
"Web Scraping Methods You NEED to Know","https://www.youtube.com/watch?v=st7RG6Bzyxs","2023-01-30",7926
"ASYNC web scraping with GO and Colly.","https://www.youtube.com/watch?v=qhB5K-6vu00","2023-01-29",2771
"Parse URL's in a FLASH","https://www.youtube.com/watch?v=PHxv5NhQCvk","2023-01-28",4242
"What's So Special About this Python Framework?!","https://www.youtube.com/watch?v=_b7Ni92TyOw","2023-01-16",7846
"Chatting Web Scraping & Looking at Repos","https://www.youtube.com/watch?v=gU67zKePoX4","2023-01-13",1143
"Chatting Web Scraping Projects in 2023","https://www.youtube.com/watch?v=cOXdNXEf1OQ","2023-01-12",0
"Chatting Web Scraping Projects in 2023","https://www.youtube.com/watch?v=Vcxi9jPe9Dw","2023-01-12",1323
"Live chatting Web Scraping Projects, tips and methods p2","https://www.youtube.com/watch?v=_5YnNCyVSC8","2023-01-09",1292
"Add Arguments Easily with ARGPARSE","https://www.youtube.com/watch?v=5_i6sA4jZcs","2023-01-09",2169
"Live chatting Web Scraping Projects, tips and methods p1","https://www.youtube.com/watch?v=zF1hOH8CC1I","2023-01-08",926
"THIS is a better way to return scraped data.","https://www.youtube.com/watch?v=WlZx9f7AxUI","2023-01-08",5385
"Web Scraping Skeleton Project in Python","https://www.youtube.com/watch?v=63fTdNyMgmk","2023-01-04",5476
"How To Scrape (almost) ANY Website with Python","https://www.youtube.com/watch?v=A9ZDqxvwNDs","2022-12-30",20384
"Should Requests be In the Standard Library?","https://www.youtube.com/watch?v=B1JWFbV7RB0","2022-12-29",1874
"Playwright Click Pages - Python Web Scraping","https://www.youtube.com/watch?v=giiLmJnOnok","2022-12-29",2786
"How to Use Recursion in Python for API Pagination","https://www.youtube.com/watch?v=X4WctWZ2ANw","2022-12-19",3072
"Best Web Scraping Combo? Use These In Your Projects","https://www.youtube.com/watch?v=HpRsfpPuUzE","2022-12-06",26465
"The Python Tools a Pro Web Scraper Uses Day to Day","https://www.youtube.com/watch?v=iWVd2umjLk8","2022-11-29",11342
"Avoid HTML Parsing Mistakes with THESE Tips","https://www.youtube.com/watch?v=qO38y-m8_G8","2022-11-14",4833
"BeautifulSoup is NOT the king of HTML Parsers (try this one)","https://www.youtube.com/watch?v=D4xCGnwjMZQ","2022-11-07",14657
"Full Project with Scrapy - The BEST Scraping Framework","https://www.youtube.com/watch?v=zOx8Com2OKI","2022-10-31",9536
"Learn Flask-RESTful APIs with this Project","https://www.youtube.com/watch?v=ow451CjBV-U","2022-10-24",4293
"How do YOU Solve this common Web Scraping issue?","https://www.youtube.com/watch?v=LNoVpdBtD4k","2022-10-19",6949
"LIVE: Fleet?! Python Code? Projects to learn?","https://www.youtube.com/watch?v=yvN8KnQpUEc","2022-10-14",1923
"LIVE: Chatting Python, Learning Code + Web Scraping QNA","https://www.youtube.com/watch?v=9gM75WqXQ-Y","2022-10-12",1412
"Python & Code Chat","https://www.youtube.com/watch?v=CiDaKRyp4Fk","2022-10-09",1189
"Why *ARGS and **KWARGS are Useful in Python","https://www.youtube.com/watch?v=G7gZKANSmqk","2022-10-06",9817
"How I Organize Data In Python with Dataclasses","https://www.youtube.com/watch?v=5mpLJxKfnXQ","2022-09-29",11429
"Is THIS The Best Way to Build a Scraper API?","https://www.youtube.com/watch?v=QOcChmgLXiI","2022-09-20",8040
"Try My Price Monitoring Beginner Python Project","https://www.youtube.com/watch?v=uWg-XAyyJTk","2022-09-13",14065
"Checking Out Web Scraping Projects on Github","https://www.youtube.com/watch?v=u21tTXDbMXc","2022-09-09",7736
"How I Build Micro REST APIs with AIOHTTP Server in Python","https://www.youtube.com/watch?v=DR3FFvqvuE0","2022-09-06",6173
"LIVE: Chatting and Code stuff","https://www.youtube.com/watch?v=WO34bLJNiDs","2022-09-02",953
"Making FAST HTTP requests with Pythons ASYNC","https://www.youtube.com/watch?v=9Bo8IetU9So","2022-08-30",5130
"LIVE: Chatting and Code stuff","https://www.youtube.com/watch?v=u9h7cwC9UlQ","2022-08-28",775
