"Title","video_url","Published_date","Views"
"Explaining Programming Memes Pt 3","https://www.youtube.com/watch?v=Zj209j5VNYo","2023-04-22",6027
"Why AI Won't Replace Programmers","https://www.youtube.com/watch?v=X6lMJ1kv9LY","2023-04-20",8003
"Explaining Programming Memes Pt 2","https://www.youtube.com/watch?v=1-3WlcBmHHw","2023-03-24",3575
"Explaining Programming Memes","https://www.youtube.com/watch?v=QPlJjoeMlfM","2023-03-17",5013
"I used ChatGPT to do my job for me!","https://www.youtube.com/watch?v=0gv8D_Oi5Ys","2023-03-13",7846
"Programming in your 30s Be Like","https://www.youtube.com/watch?v=o45tLyulwTI","2023-02-14",34223
"Day in the Life | Self Employed Software Engineer","https://www.youtube.com/watch?v=KSD1_-Bnpek","2023-01-27",20813
"Tech Layoffs... wtf is going on?","https://www.youtube.com/watch?v=sD9Xy9IERHg","2023-01-20",13849
"Software Technologies I'm Learning in 2023","https://www.youtube.com/watch?v=qcO8IkuZKZc","2023-01-09",7170
"Binary Search Tree Crash Course (DFS, BFS)","https://www.youtube.com/watch?v=wIBJZ6KLkkY","2022-12-19",3677
"FAANG Engineers Be Like...","https://www.youtube.com/watch?v=MF1J1yPbC3A","2022-12-12",19095
"Programmer's DREAM Desk Setup For PRODUCTIVITY","https://www.youtube.com/watch?v=25litcxF53I","2022-11-22",27305
"How I Learned Flask in 5 Days","https://www.youtube.com/watch?v=yrl4hHEjoEI","2022-11-08",5967
"Programmer Salary Breakdown","https://www.youtube.com/watch?v=znlAF__RErg","2022-10-31",7666
"How to Print in Different Programming Languages","https://www.youtube.com/watch?v=SP1dJoDJW5Y","2022-10-24",46958
"Kotlin Multiplatform Mobile | JetBrains new SDK for iOS and Android","https://www.youtube.com/watch?v=ri6XfKmnC8w","2022-10-12",27910
"How I CODE For HOURS With NO Breaks","https://www.youtube.com/watch?v=fkwx2TyvheI","2022-10-04",187916
"All My Software Engineer Salaries Revealed!","https://www.youtube.com/watch?v=yT60RfsHTNk","2022-09-06",112638
"How To Pull Request in 3 Minutes","https://www.youtube.com/watch?v=jRLGobWwA3Y","2022-08-29",12491
"5 Things I've Learned as a Software Engineer","https://www.youtube.com/watch?v=w0BPSa7BpzU","2022-08-22",12765
"Is Carbon the C++ killer?","https://www.youtube.com/watch?v=sApU_9_Dqbs","2022-08-01",200850
"Reviewing the 2022 Stack Overflow Survey","https://www.youtube.com/watch?v=RdGb8DVE0hQ","2022-07-11",12643
"5 Things EVERY Programmer Needs (Pt 4)","https://www.youtube.com/watch?v=FcnqWE6Wflk","2022-06-28",493466
"6 MUST READ Software Engineering Books 2022","https://www.youtube.com/watch?v=9t7R4GBUAq0","2022-06-13",46168
"10 Years of Coding in 11 Minutes","https://www.youtube.com/watch?v=aF0Qx7BOfcs","2022-05-23",120654
"Best Snacks For Coding","https://www.youtube.com/watch?v=vMMpp_LV0GA","2022-05-13",20291
"How I Use Cracking The Coding Interview","https://www.youtube.com/watch?v=iQgirStk9hY","2022-04-11",32743
"Programmer Desk Setup 2022","https://www.youtube.com/watch?v=6g4WdAnUQAQ","2022-02-28",192388
"7 Must Know Java Array Methods","https://www.youtube.com/watch?v=86B96Fy6j6U","2022-02-23",33121
"Ranking Programming Languages (Tier List)","https://www.youtube.com/watch?v=ICiBWawKEe0","2022-02-15",121840
"Avoid These 6 Beginner Programmer Mistakes","https://www.youtube.com/watch?v=x0QPYBD_HyE","2022-01-31",20250
"Compiled vs Interpreted Programming Languages | What’s the Difference?","https://www.youtube.com/watch?v=F64_bwahaWQ","2022-01-18",21444
"Keep On Coding Live Stream","https://www.youtube.com/watch?v=F6AnXi759xk","2022-01-06",0
"8 Mistakes Beginner Programmers Make","https://www.youtube.com/watch?v=MW7lk6dkCqA","2021-12-20",23830
"Java 17 Features | What's New?","https://www.youtube.com/watch?v=N6ynFA59KAA","2021-12-04",12972
"5 Things EVERY Programmer Needs (Pt 3) #shorts","https://www.youtube.com/watch?v=EcVtQbnf0HY","2021-11-18",1575040
"GitHub Copilot - A First Look","https://www.youtube.com/watch?v=RWXLzGDIBNg","2021-11-12",10594
"Build a Real World Java Application w/ JetBrains Academy","https://www.youtube.com/watch?v=FSL9JesE0i8","2021-11-04",42224
"Coding Bootcamp vs Self Taught vs Degree","https://www.youtube.com/watch?v=IILhr4h8zpU","2021-10-13",56559
"50 Definitions Every Programmer Should Know","https://www.youtube.com/watch?v=FhqjtB3qcrs","2021-10-04",38600
"My PERFECT Work From Home Desk Setup","https://www.youtube.com/watch?v=J8mBxC7z_24","2021-09-22",18792
"Coding Normally vs During an Interview #Shorts","https://www.youtube.com/watch?v=lTMn7ncYJWM","2021-09-15",983773
"45 Random Facts About Me","https://www.youtube.com/watch?v=_JhE69Cm41o","2021-09-11",9295
"5 Things EVERY Programmer Needs (Pt 2) #Shorts","https://www.youtube.com/watch?v=RHIVrom8pEY","2021-09-07",1600679
"I Learned React JS in 7 Days","https://www.youtube.com/watch?v=E9wGnfHSeKg","2021-09-01",59967
"Linux Bash Script Basics","https://www.youtube.com/watch?v=wNUf3jEXS6E","2021-08-29",80991
"How I Got Into Grad School for Computer Science","https://www.youtube.com/watch?v=ay_j0O1HJ-A","2021-08-20",12704
"5 Linux Command Line Tips & Tricks #Shorts","https://www.youtube.com/watch?v=94HJiEWEErs","2021-08-15",54497
"Interviewing a Google Software Engineer","https://www.youtube.com/watch?v=T69UbUWi-O0","2021-08-12",18109
"Linux Commands Explained in 1 Minute #Shorts","https://www.youtube.com/watch?v=fhPgNH1oAf0","2021-08-08",93077
"Hacking A Website w/ SQL Injection & Cross Site Scripting","https://www.youtube.com/watch?v=95pEQiPgqpE","2021-08-04",17724
"5 Things EVERY Programmer Needs #Shorts","https://www.youtube.com/watch?v=GzvKRGBcun8","2021-07-28",4007753
"Git Branch Explained in 1 Minute #Shorts","https://www.youtube.com/watch?v=YyFrdoD-Wjk","2021-07-25",37098
"How To Pass Your Coding Interview","https://www.youtube.com/watch?v=3VHmR9aufFs","2021-07-21",20997
"Git Basics Explained in 1 minute #Shorts","https://www.youtube.com/watch?v=IE8cxFZuLgg","2021-07-18",22813
"The 5 DUMBEST Questions I Get Asked (about Software Development)","https://www.youtube.com/watch?v=suCRy_VJRV0","2021-07-12",13908
"Which Sorting Algorithm Should You Use?","https://www.youtube.com/watch?v=MMi6UWr8UTs","2021-06-30",12873
