"Title","video_url","Published_date","Views"
"How to Cut a Sandwich Perfectly – With Science #shorts #kurzgesagt","https://www.youtube.com/watch?v=hvmIZAvt3jE","2023-05-25",1928499
"Magnetic Pole Shift - A Doomsday Scenario? #shorts #kurzgesagt","https://www.youtube.com/watch?v=IayvE_jFgrc","2023-05-18",1273277
"The Ultimate Fight: Tardigrade vs. Bird #shorts #kurzgesagt","https://www.youtube.com/watch?v=o2afhMs0aUg","2023-05-14",346195
"How Tiny Can a Black Hole Be? #shorts #kurzgesagt","https://www.youtube.com/watch?v=UKOxj8oP59w","2023-05-11",1328730
"Your Body Killed Cancer 5 Minutes Ago","https://www.youtube.com/watch?v=zFhYJRqz_xk","2023-05-09",3714481
"Why Is the Ocean Salty and Rivers Are Not? #shorts #kurzgesagt","https://www.youtube.com/watch?v=pb9g6osg2aY","2023-05-04",2448473
"Why Aliens Might Already Be On Their Way To Us","https://www.youtube.com/watch?v=GDSf2h9_39I","2023-04-11",5616436
"How We Make Money on YouTube with 20M Subs","https://www.youtube.com/watch?v=1x-i9z617z4","2023-03-28",3358725
"The Best Way to Boost Your Immune System (With Science!)","https://www.youtube.com/watch?v=M-K7mxdN62M","2023-02-28",3989202
"The Most Complex Language in the World","https://www.youtube.com/watch?v=TYPFenJQciw","2023-02-14",4697127
"Black Hole Star – The Star That Shouldn't Exist","https://www.youtube.com/watch?v=aeWyp2vXxqA","2022-12-15",7839332
"How To Terraform Mars - WITH LASERS","https://www.youtube.com/watch?v=HpcTJW4ur54","2022-12-11",5592624
"The Horror of the Slaver Ant","https://www.youtube.com/watch?v=Qsbe1pD8ocE","2022-12-06",6253794
"The Most Extreme Explosion in the Universe","https://www.youtube.com/watch?v=q4DF3j4saCE","2022-11-23",6247843
"Why Don't We Shoot Nuclear Waste Into Space?","https://www.youtube.com/watch?v=Us2Z-WC9rao","2022-11-08",8212200
"What Happens if a Supervolcano Blows Up?","https://www.youtube.com/watch?v=fXb02MQ78yQ","2022-10-18",6926800
"HIDDEN WORLDS - Limited Edition Calendar!","https://www.youtube.com/watch?v=fMJqwD7_-NU","2022-10-11",717582
"Let’s Travel to The Most Extreme Place in The Universe","https://www.youtube.com/watch?v=FfWtIaDtfYk","2022-10-04",9309055
"Why You Are Lonely and How to Make Friends","https://www.youtube.com/watch?v=I9hJ_Rux9y0","2022-09-06",5263886
"Is Civilization on the Brink of Collapse?","https://www.youtube.com/watch?v=W93XyXHI8Nw","2022-08-16",9002990
"The Deadliest Virus on Earth","https://www.youtube.com/watch?v=4u5I8GYB79Y","2022-07-26",11663988
"The Last Human – A Glimpse Into The Far Future","https://www.youtube.com/watch?v=LEENEFaVUzU","2022-06-28",9720128
"Change Your Life – One Tiny Step at a Time","https://www.youtube.com/watch?v=75d_29QWELk","2022-06-07",8219054
"You Are Not Where You Think You Are","https://www.youtube.com/watch?v=Pj-h6MEgE7I","2022-05-17",8028032
"The Most Horrible Parasite: Brain Eating Amoeba","https://www.youtube.com/watch?v=7OPg-ksxZ4Y","2022-05-03",8725465
"We WILL Fix Climate Change!","https://www.youtube.com/watch?v=LxgMdjyw8uw","2022-04-05",10257508
"Are There Lost Alien Civilizations in Our Past?","https://www.youtube.com/watch?v=KRvv0QdruMQ","2022-03-01",11748266
"What Happens if the Moon Crashes into Earth?","https://www.youtube.com/watch?v=lheapd7bgLA","2022-02-08",16388063
"Why We Should NOT Look For Aliens - The Dark Forest","https://www.youtube.com/watch?v=xAUJYP8tnRE","2021-12-14",14112727
"...And We'll Do it Again","https://www.youtube.com/watch?v=XFqn3uy238E","2021-12-07",11640616
"Is Meat Really that Bad?","https://www.youtube.com/watch?v=F1Hq8eVOMHs","2021-11-30",7361110
"You Are Immune Against Every Disease","https://www.youtube.com/watch?v=LmpuerlbJu0","2021-11-02",14986819
"The Limited Edition Dinosaur Calendar – Now And Then Never Again","https://www.youtube.com/watch?v=Nv4Nk4AAgk8","2021-10-19",853897
"What Dinosaurs ACTUALLY Looked Like?","https://www.youtube.com/watch?v=xaQJbozY_Is","2021-10-12",12121262
"Two Chapters From Our New Book – Exclusive Preview!","https://www.youtube.com/watch?v=0FRVx_c9T0c","2021-09-28",1973525
"Can YOU Fix Climate Change?","https://www.youtube.com/watch?v=yiw6_JakZFc","2021-09-22",12774874
"This Virus Shouldn't Exist (But it Does)","https://www.youtube.com/watch?v=1-NxodiGPCU","2021-08-31",20370767
"How The Immune System ACTUALLY Works – IMMUNE","https://www.youtube.com/watch?v=lXfEK8G8CUI","2021-08-10",20175712
