"Title","video_url","Published_date","Views"
"Build Wordle in 20min with React.js!","https://www.youtube.com/watch?v=oTVFno-IZVc","2022-04-27",14286
"How to code in 30min - FOR ABSOLUTE BEGINNERS","https://www.youtube.com/watch?v=p8Za5MtyVdg","2022-03-07",10183
"How to code in 2022 - From zero to career-level","https://www.youtube.com/watch?v=TwanFw93TUQ","2022-02-28",26402
"Tailwind CSS - why CSS utility classes save so much time","https://www.youtube.com/watch?v=oU5ar0dmQEY","2021-07-09",14987
"Manage React state like a boss with MobX Local Observables","https://www.youtube.com/watch?v=Azb5lNbbFqo","2021-06-21",6598
"Next.js + React.js tutorial - YOU REALLY should be using Next.js","https://www.youtube.com/watch?v=T3iLrmO8TmY","2021-06-11",23834
"Web Development in 2020 - A complete roadmap","https://www.youtube.com/watch?v=SBB1YtwODT0","2020-01-28",472390
"Ultimate Hacking Keyboard UHK60 - Mechanical Keyboard Review","https://www.youtube.com/watch?v=v38H67xWfOI","2019-12-13",30642
"ArangoDB Tutorial - Databases every developer should know about","https://www.youtube.com/watch?v=4C4zqhXwCKs","2019-08-07",45832
"CSS Units - Which ones to use and which to stop using! - HTML CSS Tutorial","https://www.youtube.com/watch?v=tcBRvjYw5xQ","2019-07-23",26521
"How To Make A Website From HTML & CSS - FAST, CHEAP, EASY","https://www.youtube.com/watch?v=5iUB31h2Hzs","2019-05-28",124137
"LearnCode.academy Live Stream","https://www.youtube.com/watch?v=nAo6h68xRpo","2019-04-05",0
"Responsive Design Tutorial - Tips for making web sites look great on any device","https://www.youtube.com/watch?v=fgOO9YUFlGI","2019-02-26",204812
"HTML & CSS Tutorial - Ways to code images...and how to do it well","https://www.youtube.com/watch?v=7cwRaTqR4k0","2019-01-21",291274
"MOST AMAZING ERGODOX YET! - ERGODOX EZ GLOW REVIEW w/ Kailh Copper keyswitches","https://www.youtube.com/watch?v=rqrh5d__uoI","2018-12-06",29975
"CSS SELECTORS MADE EASY - HTML CSS Tutorial for Beginners","https://www.youtube.com/watch?v=dcCCOiQ1ZuM","2018-12-06",231216
"HTML CSS TUTORIAL FOR BEGINNERS - multiple pages","https://www.youtube.com/watch?v=iXSSHlOe47s","2018-11-29",462861
"Flexispot Standing Desk Review - And Why You Need a Sit Stand Desk!","https://www.youtube.com/watch?v=QYEHwW4bzG4","2018-11-26",8074
"Build an HTML + CSS Layout with Flexbox in just a few lines of code","https://www.youtube.com/watch?v=aRMIdKRYg6c","2018-11-12",367683
"EASY! Hand-code an HTML + CSS layout","https://www.youtube.com/watch?v=dMK_3lH1YPo","2018-11-05",401598
"HTML CSS Tutorial for Beginners - Web Development Tutorials For Beginners","https://www.youtube.com/watch?v=J35jug1uHzE","2018-08-09",337669
"Web Development Tutorial For Beginners - how to make a website","https://www.youtube.com/watch?v=gQojMIhELvM","2018-08-01",701442
"HTML Tutorial for Beginners","https://www.youtube.com/watch?v=RjHflb-QgVc","2018-08-01",377609
"Parcel ...the Webpack KILLER?!","https://www.youtube.com/watch?v=b-6BeS-22yw","2018-06-27",33842
"TensorFlow JS Tutorial - Build a neural network with TensorFlow for Beginners","https://www.youtube.com/watch?v=XdErOpUzupY","2018-06-19",44274
"Neural Networks Explained - Machine Learning Tutorial for Beginners","https://www.youtube.com/watch?v=GvQwE2OhL8I","2018-06-11",471413
"Neural Networks Explained Pt 2 - Machine Learning Tutorial for Beginners","https://www.youtube.com/watch?v=9ZsyQZouOQ8","2018-06-11",37321
"Machine Learning Tutorial - Making a recommendation engine IN THE BROWSER","https://www.youtube.com/watch?v=lvzekeBQsSo","2018-03-28",38015
"Machine Learning Tutorial for Beginners - USING JAVASCRIPT!","https://www.youtube.com/watch?v=9Hz3P1VgLz4","2018-03-19",132192
"Web Development 2018 - The Must-Know Tech","https://www.youtube.com/watch?v=gVXcqO9A1vo","2018-03-13",250987
"Vue.js Tutorial #7 - Scaling Vue with Single File Components","https://www.youtube.com/watch?v=IkcJ0YAiycQ","2017-11-21",29691
"Vuejs Tutorial #8 - Vue Router","https://www.youtube.com/watch?v=mY2MiaYiSdw","2017-11-21",85343
"Vue Tutorial #5 - AJAX data and Lifecycle Methods","https://www.youtube.com/watch?v=inJDWcHmsss","2017-11-21",32513
"Vue Tutorial #6 - Full REST Example","https://www.youtube.com/watch?v=Oyr5X5HwXhM","2017-11-21",85185
"Vue Tutorial #9 - Scaling Vue.js Data with Stores","https://www.youtube.com/watch?v=mS9-fTrgjrA","2017-11-21",27180
"Vue Tutorial #4 - Break up your app into Vue Components","https://www.youtube.com/watch?v=1V9Lcnm1Dqw","2017-10-02",28546
"Vue Tutorial #3 - Vue.js directives and event listeners","https://www.youtube.com/watch?v=t0w2KLOLaTA","2017-10-02",27573
"Vue Tutorial # 2 - Vue.js filters and computed data","https://www.youtube.com/watch?v=h6lhOYv-QM4","2017-10-02",41642
"Vue Tutorial - Vue JS Tutorial for Beginners #1 setting up an app","https://www.youtube.com/watch?v=mZY1yyrlJWU","2017-10-02",88146
"Help Me, I'm Stuck in Wordpress World!","https://www.youtube.com/watch?v=8uW3TNDIcAs","2017-09-18",13731
"Giving away the Das Keyboard 4 Ultimate using Code","https://www.youtube.com/watch?v=7tiocLktDpI","2017-05-24",12558
"GIVEAWAY - Das Keyboard 4 Ultimate - A beautiful and well-priced mechanical keyboard","https://www.youtube.com/watch?v=a4haLJdDRmc","2017-04-28",22032
"[April Fools 2017] ES2018 First Look - it changes everything","https://www.youtube.com/watch?v=s-G_RZ4RJLU","2017-03-31",98182
"Yarn vs NPM - You won't believe how fast it is","https://www.youtube.com/watch?v=OCW3Jz6F8Ek","2017-03-13",64045
"AWS Lambda Tutorial: Lambda + Serverless = HAPPY","https://www.youtube.com/watch?v=71cd5XerKss","2017-02-27",328863
"Dev Workflow Tips! - Apps, Keyboard Setup, Editors and More - Ergodox EZ Mechanical Keyboard","https://www.youtube.com/watch?v=78RtO38wOwI","2017-02-21",48553
"From Newbie to Ninja with Node.js - Full Node.js Tutorial Course for Beginners","https://www.youtube.com/watch?v=0J82QOHX8lQ","2016-11-02",52385
"DRASTICALLY IMPROVE YOUR WORKFLOW WITH CONTINUOUS DEPLOYMENT","https://www.youtube.com/watch?v=RdOhgdnIhQI","2016-09-22",17046
"EXTREMELY FAST & SIMPLE CI TESTING - SemaphoreCI","https://www.youtube.com/watch?v=OQAifaOEmVo","2016-08-26",12178
"MobX tutorial #2 - Computed Values and Nested/Referenced Observables","https://www.youtube.com/watch?v=nYvNqKrl69s","2016-08-17",103109
"MobX tutorial #1 - MobX + React is AWESOME","https://www.youtube.com/watch?v=_q50BXqkAfI","2016-08-17",189037
"2016/2017 MUST-KNOW WEB DEVELOPMENT TECH - Watch this if you want to be a web developer","https://www.youtube.com/watch?v=sBzRwzY7G-k","2016-08-04",910941
"Complete Docker Course! - Real World Docker - Complete Docker Tutorial Course","https://www.youtube.com/watch?v=zIALD-U3pXM","2016-08-01",48345
"Connecting React & Redux - Redux Tutorial #7","https://www.youtube.com/watch?v=nrg7zhgJd4w","2016-07-13",227356
"Redux Async Actions - Redux Tutorial #6","https://www.youtube.com/watch?v=Td-2D-_7Y2E","2016-06-28",245469
"Redux Middleware Tutorial - Redux Tutorial #5","https://www.youtube.com/watch?v=DJ8fR0mZM44","2016-06-27",189431
"Multiple Reducers with Redux Reducers - Redux React Tutorial #4","https://www.youtube.com/watch?v=gBER4Or86hE","2016-06-21",216233
"Basic Redux Introduction - Redux Tutorial #3","https://www.youtube.com/watch?v=ucd5x3Ka3gw","2016-06-20",255082
"Immutable JS - Redux Tutorial #2 - React.js Tutorial","https://www.youtube.com/watch?v=9M-r8p9ey8U","2016-04-19",265819
"Redux Tutorial #1 - React js tutorial - How Redux Works","https://www.youtube.com/watch?v=1w-oQ-i1XB8","2016-04-18",638604
"MECHANICAL KEYBOARD REVIEW - Ergodox EZ - What is it like to use an Ergodox Keyboard?","https://www.youtube.com/watch?v=UvW3KcewMZs","2016-03-29",67906
"MECHANICAL KEYBOARD REVIEW - Matias Ergo Pro - Great Development Gaming Keyboard","https://www.youtube.com/watch?v=iUX_f3RiQME","2016-03-28",37756
"REACT FLUX TUTORIAL #14 - React & Flux Memory Leaks","https://www.youtube.com/watch?v=Fgd2ivSnXXo","2016-02-29",91558
"REACT FLUX TUTORIAL #13 - Asynchronous & AJAX Flux Actions","https://www.youtube.com/watch?v=CuYd9uDB0vg","2016-02-25",95767
"REACT FLUX TUTORIAL #12 - Flux Actions","https://www.youtube.com/watch?v=0yW7C22ooos","2016-02-24",95477
"REACT FLUX TUTORIAL #11 - The Flux Dispatcher","https://www.youtube.com/watch?v=MZfCVq5iCBw","2016-02-23",107153
"REACT FLUX TUTORIAL #10 - Flux Store Events","https://www.youtube.com/watch?v=bvEC6i7CUyE","2016-02-22",122678
"REACT FLUX TUTORIAL #9 - React Flux Introduction & Flux Stores","https://www.youtube.com/watch?v=PvjNglsyOHs","2016-02-19",220949
"REACT JS TUTORIAL #8 - React Inline Styles & Component Arrays","https://www.youtube.com/watch?v=XVdwq8W2ZsM","2016-02-16",159448
"REACT JS TUTORIAL #7 - React Router Params & Queries","https://www.youtube.com/watch?v=ZBxMljq9GSE","2016-02-10",249609
"REACT JS TUTORIAL #6 - React Router & Intro to Single Page Apps with React JS","https://www.youtube.com/watch?v=1iAG6h9ff5s","2016-02-09",407053
"REACT JS TUTORIAL #5 - Javascript Events & Data Changes in React","https://www.youtube.com/watch?v=_D1JGNidMr4","2016-02-08",320761
"REACT JS TUTORIAL #4 - State vs Props & Application Data","https://www.youtube.com/watch?v=qh3dYM6Keuw","2016-02-05",458485
"REACT JS TUTORIAL #3 - Composing Multiple React.js Components","https://www.youtube.com/watch?v=vu_rIMPROoQ","2016-02-04",365107
"REACT JS TUTORIAL #2 - Reactjs Components & Rendering","https://www.youtube.com/watch?v=fd2Cayhez58","2016-02-03",423650
"REACT JS TUTORIAL #1 - Reactjs Javascript Introduction & Workspace Setup","https://www.youtube.com/watch?v=MhkGQAoc7bc","2016-02-02",1454707
"Webpack Tutorial - Replace Gulp/Grunt plugins with a single tool","https://www.youtube.com/watch?v=9kJVYpOqcVU","2016-01-11",365392
"Scaling Docker #5 - Routing DNS to Docker images running on a CoreOS Cluster","https://www.youtube.com/watch?v=4215szNHlC4","2015-12-14",16723
"Scaling Docker #4 - Docker Service Discovery and Load Balancing","https://www.youtube.com/watch?v=R39VRocQtrQ","2015-12-09",19795
"Scaling Docker #3 - Docker Service Registration with Etcd & Flannel","https://www.youtube.com/watch?v=1zJ8FfC-gmU","2015-12-09",19512
"Scaling Docker #2 - Tutorial on Scheduling Docker Containers across CoreOS machine with Fleet","https://www.youtube.com/watch?v=top0MlcKSw4","2015-12-08",28839
"Scaling Docker #1 - High Availability Docker DevOps with CoreOS, Etcd, Fleet, Flannel & Nginx","https://www.youtube.com/watch?v=wxUxtflalE4","2015-12-08",61752
"Standing Desks, Fluidstance Review & Developer Health","https://www.youtube.com/watch?v=b-EzIMU7Nag","2015-11-17",38769
"Modular Javascript - Prototypal Pattern vs Classical OOP in JS","https://www.youtube.com/watch?v=doXpW5AD60Q","2015-09-30",80466
"Modular Javascript #6 - Classical Inheritance & OOP with JS","https://www.youtube.com/watch?v=sWOXYDBbz0g","2015-09-18",80665
"Javascript ES6 Cheatsheet - the best of JS ES6","https://www.youtube.com/watch?v=AfWYO8t7ed4","2015-09-09",240669
"Javascript ES6 Cheatsheet #2 - the best of JS ES6","https://www.youtube.com/watch?v=LmL0Gh193M0","2015-09-09",95471
"Modular Javascript #5 - PubSub Implementation","https://www.youtube.com/watch?v=jDhDvnlbr4Q","2015-07-29",54222
"Modular Javascript #4 - PubSub Javascript Design Pattern","https://www.youtube.com/watch?v=nQRXi1SVOow","2015-07-29",113065
"Modular Javascript #3 - Revealing Module Pattern Javascript Tutorial","https://www.youtube.com/watch?v=pOfwp6VlnlM","2015-07-23",132640
"Modular Javascript #2 - Converting jQuery to an Object Literal Module","https://www.youtube.com/watch?v=m-NYyst_tiY","2015-07-22",137895
"Modular Javascript - Javascript Tutorial on the Object Literal Pattern","https://www.youtube.com/watch?v=HkFlM73G-hk","2015-07-22",233635
"Javascript Events Tutorial Part 2 - Javascript Tutorials for Beginning Web Development","https://www.youtube.com/watch?v=0tEW8rB1bbU","2015-06-23",173904
"Javascript Events Tutorial - How Web Developers Respond to User Input","https://www.youtube.com/watch?v=e57ReoUn6kM","2015-06-22",309620
"WATCH THIS IF YOU WANT TO BECOME A WEB DEVELOPER! - Web Development Career advice","https://www.youtube.com/watch?v=pB0WvcxTbCA","2015-05-14",465282
"Javascript Selectors - Javascript Tutorial for Beginners With Examples","https://www.youtube.com/watch?v=W3EK4MlZW4g","2015-04-21",257614
"Docker Container Tutorial - How to build a Docker Container & Image","https://www.youtube.com/watch?v=K6WER0oI-qs","2015-04-17",446129
"Way Better Mac Icons - Mac Tips & Tricks","https://www.youtube.com/watch?v=ERNASc-ZcpY","2015-04-15",12950
"Docker Tutorial - What is Docker & Docker Containers, Images, etc?","https://www.youtube.com/watch?v=pGYAg7TMmp0","2015-04-14",1437361
"Docker Tutorial - Docker Container Tutorial for Beginners","https://www.youtube.com/watch?v=JBtWxj9l7zM","2015-04-14",642587
"Moltin + Angular Wrapping Things Up","https://www.youtube.com/watch?v=Kto077wbo58","2015-04-07",5651
"E-Commerce Made Easy - FINALLY, E-COMMERCE IS FUN for developers","https://www.youtube.com/watch?v=Icltr-6nRLg","2015-03-10",31667
"Rapid E-Commerce with Angular and Moltin - Easy, Fast E-Commerce Development","https://www.youtube.com/watch?v=gLa2LxMdAPs","2015-03-10",56920
"Javascript Tutorial For Beginners - Free JS Course - Web Development Tutorial","https://www.youtube.com/watch?v=fGdd9qNwQdQ","2015-02-24",819021
"JS Tutorial For Beginners - #2 If Else & Comparison Operators","https://www.youtube.com/watch?v=Gy87ZS5sb1w","2015-02-24",387660
"Javascript Tutorial For Beginners - #3 Javascript Functions Tutorial","https://www.youtube.com/watch?v=AY6X5jZZ_JE","2015-02-24",528431
"Javascript Tutorial For Beginners - #4 Javascript Arrays & Loops","https://www.youtube.com/watch?v=orAS-MBh5f4","2015-02-24",391174
"Responsive HTML Email with Node.js - Send Rich, Responsive HTML Emails Using Ink, Yeoman & Express","https://www.youtube.com/watch?v=FrB8mxdWR7o","2015-01-22",64785
"How to send server email with Node.js - sendgrid, mandrill, mailgun, etc.","https://www.youtube.com/watch?v=zrXOjWICmGw","2015-01-19",100023
"STOP USING FTP!  - How to Deploy with Flightplan over SSH","https://www.youtube.com/watch?v=vmekjPhQuCc","2015-01-13",59052
"GRUNT TUTORIAL - Grunt makes your web development better!","https://www.youtube.com/watch?v=TMKj0BxzVgw","2015-01-07",224173
"WHY YOU NEED A BUILD SYSTEM LIKE GRUNT, GULP, BRUNCH FOR YOUR WEBSITE","https://www.youtube.com/watch?v=XJ5F-Auhato","2015-01-07",124999
"Mobile Web Design - Coding Workflow For Mobile Websites","https://www.youtube.com/watch?v=D25OVUVBVt8","2015-01-06",73319
"Deploying Node.js Applications - Deploy Node the right way - as an Upstart Service","https://www.youtube.com/watch?v=BJZZnhGtR4A","2014-12-15",42722
"Deploying node.js applications #2 - provision server & setup flightplan","https://www.youtube.com/watch?v=XxRuW1pfGTI","2014-12-15",86810
"How to deploy node.js applications #1 - spin up a server","https://www.youtube.com/watch?v=W3rnQbsMb4Q","2014-12-15",164138
"What is Node.js Exactly? - a beginners introduction to Nodejs","https://www.youtube.com/watch?v=pU9Q6oiQNd0","2014-12-12",1245814
"Web Dev Training with Treehouse","https://www.youtube.com/watch?v=xZVccRz3RPM","2014-10-21",10506
"Node.js Cluster - Boost Node App Performance & Stability with Clustering","https://www.youtube.com/watch?v=6xIbVPyh9wo","2014-10-14",56421
"HAPROXY vs NGINX - 10,000 requests while killing servers","https://www.youtube.com/watch?v=yQvcHy_tPjI","2014-10-10",78084
"How the Internet Works for Developers - Pt 2 - Servers & Scaling","https://www.youtube.com/watch?v=FTAPjr7vgxE","2014-10-08",191693
"How the Internet Works for Developers - Pt 1 - Overview & Frontend","https://www.youtube.com/watch?v=e4S8zfLdLgQ","2014-10-08",535383
"Web Development Advice - Interview with Dev Tips","https://www.youtube.com/watch?v=gYG89QeluUg","2014-09-30",59618
"Javascript Generators - THEY CHANGE EVERYTHING - ES6 Generators Harmony Generators","https://www.youtube.com/watch?v=QO07THdLWQo","2014-08-12",122766
"Are you bad, good, better or best with Async JS? JS Tutorial: Callbacks, Promises, Generators","https://www.youtube.com/watch?v=obaSQBBWZLk","2014-08-11",111005
"Live Reload Sublime, Chrome, Anything - Fast and easy with Live-Server","https://www.youtube.com/watch?v=q78u9lBXvj0","2014-07-29",132003
"Nginx Tutorial - Proxy to Express Application, Load Balancer, Static Cache Files","https://www.youtube.com/watch?v=FJrs0Ar9asY","2014-07-28",128248
"Javascript Context Tutorial - What makes Javascript Weird...and Awesome Pt5","https://www.youtube.com/watch?v=fjJoX9F_F5g","2014-07-25",94746
"Javascript Scope Tutorial - What Makes Javascript Weird...and Awesome Pt 4","https://www.youtube.com/watch?v=SBwoFkRjZvE","2014-07-24",137067
"FREE REST API - Practice Developing Javascript AJAX Apps with this API","https://www.youtube.com/watch?v=ODlgfpLsFGk","2014-07-21",43098
"Javascript Closures Tutorial - What makes Javascript Weird...and Awesome Pt 3","https://www.youtube.com/watch?v=ZqGFKcCcO-Y","2014-07-17",111903
"Javascript is Event-Driven - What makes Javascript Weird...and Awesome Pt 2","https://www.youtube.com/watch?v=pNzN5WF7Uag","2014-07-17",108854
"What Makes Javascript Weird...and AWESOME - Pt 1","https://www.youtube.com/watch?v=JEq7Ehw-qk8","2014-07-17",181699
"Sublime Text Favorite Packages and Workflow","https://www.youtube.com/watch?v=BJ9sWCPXWQA","2014-07-07",38032
"Vagrant Tutorial - Running a VM For Your Local Development Environment","https://www.youtube.com/watch?v=PmOMc4zfCSw","2014-07-03",251594
"SSH Tutorial - Basic server administration with SSH","https://www.youtube.com/watch?v=DbPDraCYju8","2014-07-03",196295
"Basic Terminal Usage - Cheat Sheet to make the command line EASY","https://www.youtube.com/watch?v=jDINUSK7rXE","2014-06-26",159165
"How to put your website online - how to FTP to a domain & upload files to a webhost","https://www.youtube.com/watch?v=tq7dqdHCc7U","2014-06-24",731359
"jQuery Ajax Tutorial #4 - Edit modes & Better Mustache.js Templating (jQuery tutorial #9)","https://www.youtube.com/watch?v=Y6KrUwmlrNE","2014-06-23",106597
"jQuery Ajax Tutorial #3 - Delegating Events & Mustache.js Templating (jQuery tutorial #9)","https://www.youtube.com/watch?v=GbNWPn8vodo","2014-06-20",157213
"jQuery Ajax Tutorial #2 - Posting data to backend (jQuery tutorial #8)","https://www.youtube.com/watch?v=5nL7X1UMWsc","2014-06-19",342334
"jQuery Ajax Tutorial #1 - Using AJAX & API's (jQuery Tutorial #7)","https://www.youtube.com/watch?v=fEYx8dQr_cQ","2014-06-18",685513
"jQuery Tutorial #6 - Building a jQuery Image Slider","https://www.youtube.com/watch?v=KkzVFB3Ba_o","2014-06-12",469432
"jQuery Tutorial #5 - Building a jQuery Tab Panel Widget","https://www.youtube.com/watch?v=1nWrIBB_bMA","2014-06-11",232607
"jQuery Tutorial #4 - DOM Traversal with jQuery","https://www.youtube.com/watch?v=LYKRkHSLE2E","2014-06-10",286081
"WEB DEVELOPMENT - SECRETS TO STARTING A CAREER in the Web Development Industry","https://www.youtube.com/watch?v=JilfXmI2IjQ","2014-04-21",240060
"Node.js tutorial for beginners 2014 - an introduction to Node.js with Express.js","https://www.youtube.com/watch?v=FqMIyTH9wSg","2014-04-21",344135
"Node.js MongoDB Tutorial using Mongoose","https://www.youtube.com/watch?v=5e1NEdfs4is","2014-04-02",277207
"jQuery Tutorial #2 - Event Binding - jQuery Tutorial for Beginners","https://www.youtube.com/watch?v=G-POtu9J-m4","2014-03-22",550196
"jQuery Tutorial #1 - jQuery Tutorial for Beginners","https://www.youtube.com/watch?v=hMxGhHNOkCU","2014-03-22",1331855
"jQuery Tutorial #3 - Writing Smarter, Better Code - jQuery Tutorial for Beginners","https://www.youtube.com/watch?v=Cc3K2jDdKTo","2014-03-22",395037
"Pimp that Terminal - Add shortcuts and functions to your .bash_profile to simplify routine tasks","https://www.youtube.com/watch?v=OQXc_hjqZps","2014-03-21",14028
"GITHUB PULL REQUEST, Branching, Merging & Team Workflow","https://www.youtube.com/watch?v=oFYyTZwMyAg","2014-03-20",577616
"GITHUB ATOM - Why Atom.io will be your favorite Text Editor!","https://www.youtube.com/watch?v=bo5MM2N_3tw","2014-03-15",379975
"Chrome DevTools for CSS - Better CSS Coding & CSS Debugging with Developer Tools","https://www.youtube.com/watch?v=Z3HGJsNLQ1E","2014-03-14",163426
"BOWER! - Streamline Web Workflow with Bower Package Manager","https://www.youtube.com/watch?v=Vs2wduoN9Ws","2014-02-25",96823
"YEOMAN TUTORIAL - Master Front-End Workflow with Yeoman, Grunt and Bower","https://www.youtube.com/watch?v=gKiaLSJW5xI","2014-02-20",197078
"WATCH THIS IF YOU WANT TO BECOME A WEB DEVELOPER! - Web Development Career advice","https://www.youtube.com/watch?v=zXqs6X0lzKI","2014-02-12",487469
"AngularJS Directives Tutorial - Part 1 - Demystifying Angular Directives","https://www.youtube.com/watch?v=0r5QvzjjKDc","2014-02-08",170835
"Javascript Tutorial - jQuery Tutorial for Beginners Pt 2","https://www.youtube.com/watch?v=WGPaZNYrHpo","2014-01-25",185888
"Javascript Tutorial - Programming Tutorial for Beginners Pt 1","https://www.youtube.com/watch?v=vZBCTc9zHtI","2014-01-24",867403
"Github Tutorial For Beginners - Github Basics for Mac or Windows & Source Control Basics","https://www.youtube.com/watch?v=0fKg7e37bQE","2014-01-16",2971797
"Node.js tutorial for beginners - an introduction to Node.js with Express.js","https://www.youtube.com/watch?v=ndKRjmA6WNA","2014-01-13",279034
"CSS Tutorial - Web Development Tutorial for Beginners (#5)","https://www.youtube.com/watch?v=rDv9tObvqgo","2014-01-02",389564
"Angularjs Tutorial for Beginners - learn Angular.js using UI-Router","https://www.youtube.com/watch?v=QETUuZ27N0w","2013-12-19",473227
"Bootstrap Tutorial For Beginners - Responsive Design with Bootstrap 3 - Responsive HTML, CSS","https://www.youtube.com/watch?v=no-Ntkc836w","2013-12-11",1147849
