"Title","video_url","Published_date","Views"
"How To Create Database In PostgreSQL by Manish Sharma","https://www.youtube.com/watch?v=b7ufNgoIEuQ","2023-05-24",173
"Mastering Tablespaces in PostgreSQL: Boost Performance & Efficiency","https://www.youtube.com/watch?v=UKxYCpTmOfk","2023-05-17",101
"Mastering Tablespaces in PostgreSQL: Boost Performance & Efficiency","https://www.youtube.com/watch?v=UKxYCpTmOfk","2023-05-17",190
"Connect With PostgreSQL using VS CODE for PRODUCTION","https://www.youtube.com/watch?v=ByPnXAPC3W4","2023-05-14",105
"How To Connect To PostgreSQL Database Using PSQL By Manish Sharma","https://www.youtube.com/watch?v=bDzs8IWkK34","2023-05-07",204
"Explain Plan in PostgreSQL #short","https://www.youtube.com/watch?v=CWM5Gr4uNk8","2023-05-06",352
"HOW to INSTALL POSTGRESS on DOCKER for PRODUCTION","https://www.youtube.com/watch?v=HrScIjq-tWY","2023-05-04",205
"Track Query Execution Time with PostgreSQL's TIMING Command","https://www.youtube.com/watch?v=RfzEZBqy8rQ","2023-05-02",314
"What is PostgreSQL By Manish Sharma","https://www.youtube.com/watch?v=xuUDlYzVgdU","2023-04-28",363
"03 Steps To Build Data Analyst Portfolio","https://www.youtube.com/watch?v=cGXdj2T-XRk","2023-04-27",274
"The Importance of Communication Skills for Data Analysts","https://www.youtube.com/watch?v=8yHtT8vG7vI","2023-04-26",562
"Top Programming Languages for Data Analyst","https://www.youtube.com/watch?v=oZm_LhIfmWo","2023-04-25",505
"Introduction to PostgreSQL Course by Manish Sharma","https://www.youtube.com/watch?v=4wYs94EqeKE","2023-04-24",390
"Top 5 Free Datasets for Data Science and Analysis Practice","https://www.youtube.com/watch?v=OXAY4aG7m7k","2023-04-07",490
"How To Properly Store Addresses In A Database","https://www.youtube.com/watch?v=Kf_xZ_HIQ8E","2023-04-05",375
"Database Design Project : Library Management System","https://www.youtube.com/watch?v=1Zox0IrcXKo","2023-03-03",1381
"Should You Learn C++ in  2023? Our expert opinion","https://www.youtube.com/watch?v=aWW6ITMRTg4","2023-02-15",2424
"Get Ahead of the Game in 2023: Learn SQL Now!","https://www.youtube.com/watch?v=86AX0fJY-k4","2023-02-06",1227
"4 Tips To Become a Successful DATA ANALYST for Beginners","https://www.youtube.com/watch?v=3oCsLn8SzOs","2023-02-03",1582
"Experts Reveal Will Chat GPT Lead to Layoffs in the Industry interview of Manu Singh by Manish","https://www.youtube.com/watch?v=jpN6AedstdI","2023-01-27",961
"Revolutionizing SEO with AI: The Power of ChatGPT","https://www.youtube.com/watch?v=3QFG3bfm5Hk","2023-01-26",478
"Coding vs Programming: Which One Will Make You A Better Developer? (You'll be Surprised!)","https://www.youtube.com/watch?v=X_DZeyOFfI4","2023-01-20",522
"How To START CODING- What Would I Do If I Have to START OVER","https://www.youtube.com/watch?v=8vOCUKv1sw4","2023-01-15",1870
"top 3 programming languages to learn in 2023","https://www.youtube.com/watch?v=107Fekoijy8","2023-01-12",2323
"Top 3 Progamming Languages of 2023","https://www.youtube.com/watch?v=68XTfZuHi3I","2023-01-10",1020
"Debugging Your Backup Using RMAN BACKUP and RESTORE VALIDATE command","https://www.youtube.com/watch?v=YICpG4AxqZ0","2023-01-08",372
"which one should I use LEFT or RIGHT outer join","https://www.youtube.com/watch?v=cvnGE9GaMA8","2023-01-06",1110
"what is RMAN validate command","https://www.youtube.com/watch?v=SSx2OnZiMR4","2022-10-20",1498
"What Is Incremental Backup in Oracle Database","https://www.youtube.com/watch?v=52ybEoZii4Y","2022-10-12",1305
"How To Manually Backing Up the Control File in Oracle Database","https://www.youtube.com/watch?v=9i5rTWebckE","2022-09-28",948
"How To MULTIPLEX a CONTROL FILE using PFILE in Oracle Database","https://www.youtube.com/watch?v=TMhhEqbzXPo","2022-09-19",1102
"How to MULTIPLEX A CONTROL FILE using SPFILE in Oracle Database by Manish Sharma","https://www.youtube.com/watch?v=kxZbasQ_zro","2022-09-01",1352
"What is the LOCATION of control file AUTO BACKUP","https://www.youtube.com/watch?v=TJoWZ0huJTs","2022-08-21",699
"How To Enable Auto Backup Of The Control File In The Oracle Database","https://www.youtube.com/watch?v=ZzzqfAoUNT8","2022-08-14",1018
"Work From Home Productivity Rule 5","https://www.youtube.com/watch?v=hyRe4dAJbfc","2022-08-11",1535
"06 Work From Home Productivity Rule 6","https://www.youtube.com/watch?v=LXQA9qnekE0","2022-08-07",750
"How To Read Control File In Oracle Database by Manish Sharma","https://www.youtube.com/watch?v=oI-Tq6OpG40","2022-08-05",943
"Work From Home Productivity Rule 4","https://www.youtube.com/watch?v=g9eUsVeHzYI","2022-08-03",575
"Work From Home Productivity Rule 3","https://www.youtube.com/watch?v=QOL8S3l0R38","2022-08-01",496
"Work From Home Productivity Rule 2","https://www.youtube.com/watch?v=_E4eso1UrIg","2022-07-30",642
"What is the location of Oracle Control File By Manish Sharma","https://www.youtube.com/watch?v=Gzf7PZ7FuDw","2022-07-28",1060
"Work From Home Productivity Rule 1","https://www.youtube.com/watch?v=12-2hS2yz_4","2022-07-28",1527
"What Is Control File In Oracle Database #Shorts","https://www.youtube.com/watch?v=kAqkcQTxFT4","2022-07-27",1209
"What Is CONTROL FILE in Oracle By Manish Sharma","https://www.youtube.com/watch?v=TXsFuPoTkSA","2022-07-21",1764
"quick behind the scenes","https://www.youtube.com/watch?v=ykf2R-MF2r0","2022-07-15",546
"Introduction To Control files In SQL Oracle Database","https://www.youtube.com/watch?v=z9gfegElGJU","2022-07-15",2069
"How To CONNECT With Oracle Database EXPRESS EDITION by Manish Sharma","https://www.youtube.com/watch?v=7z1RHidXMgk","2022-06-29",4766
"How to Install Oracle Database Express Edition on Windows 10","https://www.youtube.com/watch?v=-s0URILCIhY","2022-06-24",3369
"How to Uninstall Oracle Database 21C From Windows 10 by Manish Sharma","https://www.youtube.com/watch?v=z4ZowjA0p5k","2022-06-17",26071
"How To Connect With HR user In Oracle Database by Manish Sharma","https://www.youtube.com/watch?v=2Gn55g7kp8I","2022-06-05",5065
"How To Unlock HR User In Oracle Database 21c by Manish Sharma","https://www.youtube.com/watch?v=wnYi2RqiDvk","2022-05-12",10066
"I Deleted The Data File of My Oracle Database!","https://www.youtube.com/watch?v=Eel9jGkDDS4","2022-05-05",3991
"How To Close A Pluggable Database by Manish Sharma #shorts","https://www.youtube.com/watch?v=yF5cGrvj0bM","2022-04-24",1021
"Best Practice To Check The OPEN MODE of a Pluggable Database #Shorts","https://www.youtube.com/watch?v=1lM6sS26L6A","2022-04-16",833
"3 ways to check the space of the FRA","https://www.youtube.com/watch?v=eH5Dy0CUdQ0","2022-04-10",2679
"Ultimate Way To Save Archive Redo Logs into Fast Recovery Area","https://www.youtube.com/watch?v=JsilJAdJAyE","2022-04-05",1403
"Key Difference Between Blockchain and Bitcoin by Manish Sharma #shorts","https://www.youtube.com/watch?v=n9Dq43GGJ4o","2022-04-01",1854
"Best Practices for Managing Space in the Fast Recovery Area","https://www.youtube.com/watch?v=bQ3uZcspXQ4","2022-03-28",1673
"how to use SQL with RMAN in Oracle Database by Manish Sharma","https://www.youtube.com/watch?v=brF-1RFJ5G0","2022-03-11",2852
"How To Connect With RMAN in Oracle Database by Oracle Ace Manish Sharma","https://www.youtube.com/watch?v=WrCJv-8pjsw","2022-03-05",3124
"Create A COMMON USER with SYSBACKUP privilege for Backup & Recovery of Oracle Database","https://www.youtube.com/watch?v=rt5f8ZzZnAA","2022-02-23",2655
