"Title","video_url","Published_date","Views"
"Early Bird Offer ends Tomorrow - Copenhagen Developers Festival","https://www.youtube.com/watch?v=0t2ryp3FxR8","2023-06-01",12
"NDC Oslo 2023 summed up by Michelle Mannering. Up Next Copenhagen Developers Festival.","https://www.youtube.com/watch?v=BvAsZKQyfTI","2023-05-30",379
"COPENHAGEN DEVELOPER'S FESTIVAL","https://www.youtube.com/watch?v=Ak8zNGblQMw","2023-05-29",239
"COPENHAGEN DEVELOPER’S FESTIVAL #shorts #developer #festival","https://www.youtube.com/watch?v=e8Vw4wiZ9RI","2023-05-29",205
"Locknote: How JavaScript Happened: A Short History of Programming Languages - Mark Rendle","https://www.youtube.com/watch?v=hEdzaIa4Heg","2023-05-27",2653
"NDC Oslo Day 2 - Part 2","https://www.youtube.com/watch?v=m8mqF8OJb9s","2023-05-26",403
"NDC Oslo day two. Come join the fun!","https://www.youtube.com/watch?v=3101Bk4d2T8","2023-05-25",559
"Spaces, squares, and circles - an intro to UI design - Ash Banaszek - NDC London 2023","https://www.youtube.com/watch?v=Sxyt_V9fYqE","2023-05-24",1609
"NDC Oslo 2023 - Day 1","https://www.youtube.com/watch?v=7JI78ctMQgo","2023-05-24",344
"NDC Oslo 2023 - Day 1 part 2","https://www.youtube.com/watch?v=IeZpDMNYUsE","2023-05-24",449
"Keynote: Malignant Intelligence: Prompt engineering and software archeology - Alasdair Allan","https://www.youtube.com/watch?v=zoxsW0Psb0s","2023-05-24",1328
"Refactoring Is Not Just Clickbait - Kevlin Henney - NDC London 2023","https://www.youtube.com/watch?v=NMPeAW2RWdc","2023-05-23",1712
"Keynote: Malignant Intelligence: Prompt engineering and software archeology - Alasdair Allan","https://www.youtube.com/watch?v=zoxsW0Psb0s","2023-05-23",172
"Top 5 techniques for building the worst microservice system ever - William Brander - NDC London 2023","https://www.youtube.com/watch?v=88_LUw1Wwe4","2023-05-23",6210
"From Domain Boundaries to Software Architecture - Maxime Sanglan-Charlier","https://www.youtube.com/watch?v=Yo6N66lud50","2023-05-23",852
"Pilot Critical Decision Making skills - Clifford Agius - NDC London 2023","https://www.youtube.com/watch?v=ahl6KeqQDlE","2023-05-23",283
"Copenhagen Developers Festival 2023","https://www.youtube.com/watch?v=frbkYkXKuj8","2023-05-22",205
"Discussing Backend For Front-end - Nicolas Fränkel - NDC London 2023","https://www.youtube.com/watch?v=oKLVzK_pqgg","2023-05-22",3124
"Designing and Facilitating Better Workshops - Nick Tune, Mike Rozinsky & Dan Young - NDC London 2023","https://www.youtube.com/watch?v=pa1axIs2Dco","2023-05-22",218
"Building Operable Software with TDD (but not the way you think) - Martin Thwaites - NDC London 2023","https://www.youtube.com/watch?v=prLRI3VEVq4","2023-05-22",2842
"Building confidence in concurrent code with a model checker - Scott Wlaschin - NDC London 2023","https://www.youtube.com/watch?v=qs_mmezrOWs","2023-05-22",1064
"Logging, tracing and metrics: instrumentation in .NET and Azure - Alex Thissen - NDC London 2023","https://www.youtube.com/watch?v=CdcApjTBLEM","2023-05-21",3155
"The Modern Trolley Problem - Responsible AI Principles - Michelle Sandford - NDC London 2023","https://www.youtube.com/watch?v=nla1LGT83FE","2023-05-21",416
"Build it fast, make it quick - Cory Gideon - NDC London 2023","https://www.youtube.com/watch?v=3F3o6RbDfzs","2023-05-21",1280
"Pride & Prejudice & C# - Simon Painter - NDC Oslo 2023","https://www.youtube.com/watch?v=VG9nomXfI4o","2023-05-21",1256
"Building games in .NET MAUI - Shaun Lawrence - NDC London 2023","https://www.youtube.com/watch?v=zCeGMsta5bY","2023-05-20",2651
"Apache Kafka in 1 hour for C# Developers - Guilherme Ferreira - NDC London 2023","https://www.youtube.com/watch?v=4xpjlqIlfY8","2023-05-20",5212
"Power BI for the Developer - Peter Myers & Chris Webb","https://www.youtube.com/watch?v=gWGP7R5fcBk","2023-05-20",781
"GitHub + Azure: Better Together! - April Edwards - NDC London 2023","https://www.youtube.com/watch?v=D0nn3aKEWx4","2023-05-20",1237
"Incident Management - Talk the Talk, Walk the Walk - Hila Fish - NDC London 2023","https://www.youtube.com/watch?v=nTj6jazybgY","2023-05-19",509
"Running Blazor in production, lessons learned - Jimmy Engström - NDC London 2023","https://www.youtube.com/watch?v=bZdYpYQb958","2023-05-19",5052
"Super Hero Layouts - Anton Ball - NDC London 2023","https://www.youtube.com/watch?v=eM3HWYQcJVk","2023-05-19",982
"It’s easy to create a good looking product, but what about a useful one? - Eleftheria Batsou","https://www.youtube.com/watch?v=gGVBE0TPrFk","2023-05-19",868
"Micro-Frontends in AWS - Luca Mezzalira - NDC London 2023","https://www.youtube.com/watch?v=Wn1Cj7785i8","2023-05-18",1413
"Hostile JavaScript: Attacking and Defending the Browser - Todd Gardner - NDC London 2023","https://www.youtube.com/watch?v=WawXh_E6gqo","2023-05-18",1590
"How to use Chrome DevTools to improve accessibility of your webpage - Dominika Zając","https://www.youtube.com/watch?v=9cgzjjiU8Rg","2023-05-18",649
"Introduction to Serverless with AWS Lambda in C# - Brandon Minnick - NDC London 2023","https://www.youtube.com/watch?v=kqHYN1Y7pIc","2023-05-18",1007
"Celebrity Deathmatch: Akka.NET vs Orleans - Hannes Lowette - NDC London 2023","https://www.youtube.com/watch?v=g3zmvdD8E38","2023-05-17",1969
"Where we're going... we don't need batch jobs - Adam Ralph - NDC London 2023","https://www.youtube.com/watch?v=9ix0vVL34-M","2023-05-17",2801
"Message processing failed! But what's the root cause? - Laila Bougria - NDC London 2023","https://www.youtube.com/watch?v=zvqJmhJkPfE","2023-05-17",1396
"Defensive Coding Bootcamp - Heather Downing - NDC London 2023","https://www.youtube.com/watch?v=i38vNBGGcqo","2023-05-17",1782
"Celebrity Deathmatch: Akka.NET vs Orleans - Hannes Lowette - NDC London 2023","https://www.youtube.com/watch?v=g3zmvdD8E38","2023-05-17",1204
"Defensive Coding Bootcamp - Heather Downing - NDC London 2023","https://www.youtube.com/watch?v=i38vNBGGcqo","2023-05-17",938
"Message processing failed! But what's the root cause? - Laila Bougria - NDC London 2023","https://www.youtube.com/watch?v=zvqJmhJkPfE","2023-05-17",777
"Where we're going... we don't need batch jobs - Adam Ralph - NDC London 2023","https://www.youtube.com/watch?v=9ix0vVL34-M","2023-05-17",1780
"“Wouldn’t it be cool…” and other bad design approaches - Billy Hollis - NDC London 2023","https://www.youtube.com/watch?v=GGUqyb6mzDw","2023-05-16",3031
"What's new in C#? Exciting new features in C# 8.0, 9.0 and 10! -  Filip Ekberg - NDC London 2023","https://www.youtube.com/watch?v=ys0DybCuhF0","2023-05-16",1957
"“Wouldn’t it be cool…” and other bad design approaches - Billy Hollis - NDC London 2023","https://www.youtube.com/watch?v=GGUqyb6mzDw","2023-05-16",4394
"Lean and Lego: Building the Millennium Falcon - James Lewis - NDC London 2023","https://www.youtube.com/watch?v=Z82gsB-QIPs","2023-05-16",350
"Building cloud-ready applications in .NET - Layla Porter - NDC London 2023","https://www.youtube.com/watch?v=NFW5HUmw4sg","2023-05-16",1526
"Building cloud-ready applications in .NET - Layla Porter - NDC London 2023","https://www.youtube.com/watch?v=NFW5HUmw4sg","2023-05-16",1888
"What's new in C#? Exciting new features in C# 8.0, 9.0 and 10! -  Filip Ekberg - NDC London 2023","https://www.youtube.com/watch?v=ys0DybCuhF0","2023-05-16",2685
"Lean and Lego: Building the Millennium Falcon - James Lewis - NDC London 2023","https://www.youtube.com/watch?v=Z82gsB-QIPs","2023-05-16",477
"Owning Your Experience: Talking about Mental Health In the Workplace - Arthur Doler","https://www.youtube.com/watch?v=iTBl7ZGzNvs","2023-05-15",72
"Interview with Ari Hunt - Adam Cogan - NDC Conferences","https://www.youtube.com/watch?v=RyYduqEi48A","2023-05-15",120
"Getting API security right - Philippe De Ryck - NDC London 2023","https://www.youtube.com/watch?v=7UBm8QFTaq0","2023-05-14",1814
