"Title","video_url","Published_date","Views"
"Develop Your Data Science Skills with Our Full Stack Data Science Course | NareshIT-2023","https://www.youtube.com/watch?v=beLrYLBIDDA","2023-05-30",411
"Power BI Full Course 2023 | Power BI Tutorial For Beginners | Power BI Course Training  | NareshIT","https://www.youtube.com/watch?v=fdWSFTHeuWE","2023-05-27",622
"Internship Awareness Program | Session-2 | Naresh IT","https://www.youtube.com/watch?v=70oRSJ4cBPA","2023-05-26",2953
"Internship Awareness Program | Session-1 | Naresh IT","https://www.youtube.com/watch?v=In0sSC-OplE","2023-05-25",5818
"AWS Training By Mr Reyaz | NareshIT","https://www.youtube.com/watch?v=Jd0Q3fEDttE","2023-05-23",332
"UI Full Stack Web Development Training by Mr Sudhakar Sharma  | NareshIT","https://www.youtube.com/watch?v=jybEzAK9JW8","2023-05-23",440
"Salesforce Training By Mr Veera  | NareshIT","https://www.youtube.com/watch?v=ZbdG7TR5GTU","2023-05-22",387
"It’s a good choice to choose Data Science for freshers | Mr. Shiva Rama Krishna","https://www.youtube.com/watch?v=ISjsJ44ZZcU","2023-05-22",1029
"AWS Training by Mr Avinash | NareshIT","https://www.youtube.com/watch?v=aP9YMRa8ft4","2023-05-16",629
"Looking for Digital Marketing Training? | Details in Description |  NareshIT","https://www.youtube.com/watch?v=3JvjWQcmguM","2023-05-16",173
"AWS Training by Mr Avinash | NareshIT","https://www.youtube.com/watch?v=aP9YMRa8ft4","2023-05-16",363
"Looking for Digital Marketing Training? | Details in Description |  NareshIT","https://www.youtube.com/watch?v=3JvjWQcmguM","2023-05-16",251
"Tosca | Session-2 Trending Automation Tool Tosca [ Zero Coding Automation Tool] by Mr. Suresh","https://www.youtube.com/watch?v=vjWYt8bFp5E","2023-05-10",1317
"Full Stack Data Science & AI Training By Omakar |  NareshIT","https://www.youtube.com/watch?v=cyN7WQFqzpM","2023-05-01",1162
"AWS Session-2 | by Mr. Reyaz","https://www.youtube.com/watch?v=8ffFPCj6SlU","2023-04-28",3114
"AWS | Session-1 | Mr. Reyaz","https://www.youtube.com/watch?v=UDhHBEYIdwc","2023-04-27",4211
"Workshop on Indepth Understanding to Deep Learning andNeuralNetworks@11:00 AM byMr PrakashSenapat","https://www.youtube.com/watch?v=HCYAEQ-BZls","2023-04-23",2496
"100% placement Assistance program  | NareshIT","https://www.youtube.com/watch?v=sLZP-siVr1c","2023-04-19",1590
