"Title","video_url","Published_date","Views"
"How to (not) choose a startup to join: lessons from Fast","https://www.youtube.com/watch?v=NK25beIsBfQ","2022-05-12",98105
"How Much is Startup Equity Really Worth? Based on a real offer.","https://www.youtube.com/watch?v=0uhVb2rHVqw","2022-04-27",12591
"Systems Design Interview: Volume 2 Review and Payments Chapter Deepdive","https://www.youtube.com/watch?v=KjCjVytZFq8","2022-04-04",33318
"Uber Eats, PayTM and Free Food: What Happened?","https://www.youtube.com/watch?v=PVzcWBmN2L0","2022-03-23",7470
"Software Engineer Salaries in the Netherlands: 500 total compensation data points","https://www.youtube.com/watch?v=-yYMV7m3wxY","2022-03-09",29402
"I started a newsletter - and other reasons the channel had no updates.","https://www.youtube.com/watch?v=wT5i0awxvbQ","2022-02-24",4551
"Getting Into Big Tech: From Startups in Mexico to Amazon and Microsoft as a Software Engineer","https://www.youtube.com/watch?v=DDLquhnsiwo","2021-06-08",10180
"How to Negotiate a Big Tech Offer as a Software Engineer - with @RahulPandeyrkp","https://www.youtube.com/watch?v=cbngWLr7BC4","2021-05-12",63233
"From Software Engineer to Engineering Manager with Annie Vella","https://www.youtube.com/watch?v=fwYD9bqG9lE","2021-05-08",10509
"39 Reasons Why iOS and Android Development is Hard - Especially When Building Large Mobile Apps","https://www.youtube.com/watch?v=IUliAqce0_o","2021-04-22",9010
"I Am Getting an Offer From Big Tech: What Happens Now and How To Negotiate this Offer?","https://www.youtube.com/watch?v=s75AeaTt0UM","2021-04-13",28366
"The Trimodal Nature of Software Engineer Compensation: Why Positions Pay a (Very) Different Salary","https://www.youtube.com/watch?v=h8Xpapy6I9E","2021-03-19",227005
"How to Stand Out With Your CV as a Software Engineer: Advice from Tech Recruiters and Managers","https://www.youtube.com/watch?v=kJTxH1hCa7c","2021-02-24",20773
"Pragmatic Engineer Live Stream","https://www.youtube.com/watch?v=nOgBM86uIEw","2021-02-19",0
"How do you grow as a software engineering manager? And other questions answered","https://www.youtube.com/watch?v=kPp0_ygfJYA","2021-02-18",17840
"Developing Software Engineers into Leaders: My Approach at Uber, as an Engineering Manager","https://www.youtube.com/watch?v=yTfcnj5qI6E","2021-02-11",21800
"Intern Software Engineer Salaries: Real Numbers (for the Netherlands & Amsterdam)","https://www.youtube.com/watch?v=SOS-vDtZ4ZI","2021-02-04",21536
"Grokking Algorithms: a #Shorts book review","https://www.youtube.com/watch?v=v18uKPJ-sz0","2021-01-31",18009
"Software Engineer Salary in Europe - From an Engineering Manager. How Much Do Developers Make?","https://www.youtube.com/watch?v=KF7Hk9AppM8","2021-01-28",71897
"How I Became an Engineering Manager (from a Software Engineer at Uber, Microsoft, Skype)","https://www.youtube.com/watch?v=iMrBH-838no","2021-01-16",16419
"Amazon vs Doordash: Software Engineer Offers & Deciding: Comparing the Offers & Making a Decision","https://www.youtube.com/watch?v=8EbmukxMghc","2021-01-12",31901
"Channel Intro","https://www.youtube.com/watch?v=jeJDfQ7RWdo","2021-01-07",6447
"Big Tech Hiring is Conservative - But Why? (from an ex-Uber engineering manager)","https://www.youtube.com/watch?v=cQVFYVMhPlw","2021-01-06",73447
"Confessions from a Big Tech Hiring Manager: Tips for Software Engineering Interviews","https://www.youtube.com/watch?v=vFOw_m5zNCs","2020-12-30",600332
"Why is The Uber App So Large?? (From an ex-Uber mobile engineer & manager)","https://www.youtube.com/watch?v=zmeCYiD0hnE","2020-12-14",92163
"A Performance Review Example for Software Engineers (from an engineering manager)","https://www.youtube.com/watch?v=Cik7WJUwywQ","2020-12-04",26730
"A Philosophy of Software Design: Book Review and Verdict","https://www.youtube.com/watch?v=yJpivIXsSSU","2020-12-01",13998
"Performance Review: Biases that Could Hurt You and How to Counter Them (from a Manager)","https://www.youtube.com/watch?v=XfurSDKlbmw","2020-11-27",23371
"Preparing for the Performance Review as a Software Engineer (from an engineering manager)","https://www.youtube.com/watch?v=U3p0f6fS4NY","2020-11-20",23570
