"Title","video_url","Published_date","Views"
"Programming Hero APP || May Mastery Course","https://www.youtube.com/watch?v=wdEXvT9EaKQ","2023-05-16",972
"Programming Hero APP || May Mastery Course","https://www.youtube.com/watch?v=wdEXvT9EaKQ","2023-05-16",572
"7 Data Structures that Every Programmers Must Learn || Programming #tutorial #beginners #python","https://www.youtube.com/watch?v=AgbtSApPZt0","2023-02-12",8941
"Best Python Tutorial for Beginners || Python for Absolute Beginners || Learn with 5 Python Project","https://www.youtube.com/watch?v=U8h9gayujeU","2022-12-21",14138
"Do Not Eat Using Your Hands  🤯❌ Eat Automatically with Just 30 Lines of Python.  || Python projects","https://www.youtube.com/watch?v=aPw3Cx2oFTE","2022-12-02",21623
"How to install python on Programming Hero brand new terminal #Shorts","https://www.youtube.com/watch?v=fokJetG3Z0c","2022-09-13",12866
"Don't Buy Scanner! Build your own smart scanner using 25 lines of python || opencv || Python Project","https://www.youtube.com/watch?v=MAwOPyOztDs","2022-08-27",79850
"BUILD A MOUSE USING YOUR EYE - Python Project","https://www.youtube.com/watch?v=k3PcVruvZCs","2022-08-03",106741
"Create A Virtual Mouse Using 35 Lines of python || Python Project || AI Powered Mouse || open cv","https://www.youtube.com/watch?v=vJWzH_2F64g","2022-07-03",113634
"Build an Automatic Irrigation System || Fun Science Project || Irrigation System || Watering System","https://www.youtube.com/watch?v=upxGJbHlws4","2022-05-25",23153
"DIY Valentines day gift || Romantic Gifts || Nerdy Way to Impress your Girl Friend || Python Project","https://www.youtube.com/watch?v=e87Z4yst8MI","2022-02-14",17165
"Build Your Own Snapchat Using 20 Lines of Python || Learn Python || Python Project | Python tutorial","https://www.youtube.com/watch?v=DlSBC_JNuM0","2021-11-19",58052
"Take Automatic Selfie Using Python || Become a Selfie Start Using Python || Python Project","https://www.youtube.com/watch?v=xhG2AeyJXcU","2021-06-22",55140
"HACK The Flappy Bird Game 😎 || Get Unlimited Score || Play Like a Legend","https://www.youtube.com/watch?v=ztIo841_yRI","2021-05-23",34890
"Build a Screen Recorder using python | Screen Capture | Python Projects | Build OBS | Build Camtasia","https://www.youtube.com/watch?v=1J8dQA6gN7k","2021-05-03",123874
"Hack Microsoft Word Using Python!!! Python Projects | PyQt5 Tutorial | Rich Text Editor Using Python","https://www.youtube.com/watch?v=5jeP4i3nW00","2021-04-19",71222
"Create your Own IDE || Build a Python Compiler || Best IDE for Python || Python Project","https://www.youtube.com/watch?v=f1u3me4GYmw","2021-03-22",104454
"Learn 7 Different Languages in One Day || Learn Language  Translation API || Python Projects","https://www.youtube.com/watch?v=3OQUR9ozXsk","2021-03-08",56407
"Create Your Own Browser Using Python | Python Project | PyQt5","https://www.youtube.com/watch?v=z-5bZ8EoKu4","2021-02-18",422582
"Find a Perfect Girlfriend Using Python || Valentine's Day Python Project | Image Processing | Pillow","https://www.youtube.com/watch?v=7gzXIsLyucE","2021-02-12",43637
"Don't Buy Donut, Make Your Own | Python Project | Rotating Donut | Python 3D Donut | Python Tutorial","https://www.youtube.com/watch?v=i4q-FQfo38o","2021-02-03",52612
"Don't Buy Tesla, Build Your Own || Virtual Self-Driving Car || Line Follower Robot || Python Project","https://www.youtube.com/watch?v=Ojy_qZ5v-JU","2021-01-21",148265
