"Title","video_url","Published_date","Views"
"HTML & CSS Full Course - Beginner to Expert","https://www.youtube.com/watch?v=R4kvdTjL42U","2023-05-31",1050
"JUnit Test Exception Examples - How to assert an exception is thrown","https://www.youtube.com/watch?v=_vdCqo5kNzA","2023-05-30",438
"JUnit Best Practices","https://www.youtube.com/watch?v=ubcSfQqMjUQ","2023-05-30",365
"JUnit Annotations Tutorial with Example","https://www.youtube.com/watch?v=JCD05bJJLA8","2023-05-30",412
"Learn Postman in One Video","https://www.youtube.com/watch?v=sX5ZKBsMYnE","2023-05-28",1460
"How to Setup JUnit for Eclipse IDE  | JUnit in Eclipse   | Java Test with Eclipse  (2023)","https://www.youtube.com/watch?v=hMVvqWVVFEk","2023-05-27",699
"How to Setup JUnit for IntelliJ IDEA  | JUnit in  IntelliJ IDEA  | Java Test with  Intellij IDEA","https://www.youtube.com/watch?v=eX6XA6R4rn8","2023-05-26",635
"JUnit 5 Tutorial: Writing Assertions With JUnit 5","https://www.youtube.com/watch?v=VVYlzqxE19w","2023-05-25",430
"How to Create JUnit Test Suite with Example","https://www.youtube.com/watch?v=cUPrErqiUQs","2023-05-25",382
"JUnit 5 - How to Write Parameterized Tests","https://www.youtube.com/watch?v=ZNlCZC6hIUo","2023-05-25",261
"How to Setup JUnit for VS Code | JUnit in Visual Studio Code | Java Test with Visual Studio Code","https://www.youtube.com/watch?v=936wHLIR4UY","2023-05-25",668
"JUnit Tests: How To Write JUnit Test Case With Examples |  Writing first JUnit test","https://www.youtube.com/watch?v=MKmlbsrlS1w","2023-05-24",502
"Docker Tutorial for Beginners | Learn Docker in 2 Hours (2023)","https://www.youtube.com/watch?v=8BpCXHJFbQE","2023-05-18",1888
"Docker Tutorial for Beginners | Learn Docker in 2 Hours (2023)","https://www.youtube.com/watch?v=8BpCXHJFbQE","2023-05-17",0
"How To Configure Junit In IntelliJ IDEA IDE | Setting up JUnit with IntelliJ IDEA (2023)","https://www.youtube.com/watch?v=EGpKiLhCxng","2023-05-17",400
"How To Configure Junit In IntelliJ IDEA IDE | Setting up JUnit with IntelliJ IDEA (2023)","https://www.youtube.com/watch?v=EGpKiLhCxng","2023-05-17",680
"How to Download, Install and Setup JUnit  on Windows 1","https://www.youtube.com/watch?v=OzmkR_DQTt8","2023-05-16",540
"How to Download, Install and Setup JUnit  on Windows 11","https://www.youtube.com/watch?v=OzmkR_DQTt8","2023-05-16",625
"How To Monitor API Using Postman Monitors","https://www.youtube.com/watch?v=Yhp5WHPBGS8","2023-05-15",262
"How to Use Postman Environments","https://www.youtube.com/watch?v=2ppR4uygfrU","2023-05-14",436
"How to Make a Text Editor using Tkinter in Python |  Tkinter GUI Programming | WITH FULL CODE LINK","https://www.youtube.com/watch?v=qOq8QH4DRgU","2023-05-12",810
"Basics of API Testing Using Postman – How to use API Testing in  Postman","https://www.youtube.com/watch?v=S19QqBytWC4","2023-05-11",660
"PHP CRUD Tutorial with MySQL & Bootstrap | Build CRUD Website APP","https://www.youtube.com/watch?v=ah5M4Umuf9w","2023-05-10",756
"How To Install OpenCV Python in Visual Studio Code (Windows 11)","https://www.youtube.com/watch?v=fclTFQQvQFQ","2023-05-10",508
