"Title","video_url","Published_date","Views"
"Discussing Mojo & Improving Python Object-Oriented Programming | Real Python Podcast #157","https://www.youtube.com/watch?v=mt4LCmQ9A7Q","2023-05-26",1347
"Introduction to k-Nearest Neighbors (kNN) in Python","https://www.youtube.com/watch?v=5KVYoQa5s4E","2023-05-25",656
"Python Metaclasses: Everything is an Object","https://www.youtube.com/watch?v=uLPnBaUhjKU","2023-05-18",1711
"Virtual Environment Structure & Surveying the Packaging Ecosystem | Real Python Podcast #156","https://www.youtube.com/watch?v=-0iIa1Xt7rg","2023-05-12",500
"Getting to Know the Python Standard REPL","https://www.youtube.com/watch?v=pvxZMfrOxNQ","2023-05-11",846
"Checking Project Dependencies & Python Dev Resource Collections | Real Python Podcast #155","https://www.youtube.com/watch?v=E06DuwV1yxI","2023-05-05",620
"Planning Python Package Structure for Publishing to PyPI","https://www.youtube.com/watch?v=aASH6occylg","2023-05-04",1063
"Targeting WebAssembly Platforms & Distilling a Minimum Viable Python | Real Python Podcast #154","https://www.youtube.com/watch?v=f2i2NvZBxc4","2023-04-28",690
"Starting With Python's assert Statement","https://www.youtube.com/watch?v=jjUgWvNxHys","2023-04-27",1145
"Installing Packages With pip: Python Basics","https://www.youtube.com/watch?v=4GT8fPvZDv8","2023-04-20",1121
"Seeking Faster Text Processing & Python's .__repr__() vs .__str__() | Real Python Podcast #153","https://www.youtube.com/watch?v=XTGvrVeamkg","2023-04-14",1036
"Unique Features of Python's OrderedDict","https://www.youtube.com/watch?v=BKRHqnoWU3I","2023-04-13",1621
"Automate Processes and Distribute Python Tools With RPA and RCC | Real Python Podcast #152","https://www.youtube.com/watch?v=wgQ1PZxgE1Q","2023-04-07",1620
"Identifying a Substring Within a Python String","https://www.youtube.com/watch?v=GYj9QTGALjY","2023-04-06",1030
"Evaluating Python Packages & Celebrating 20 Years of PyCon US | Real Python Podcast #151","https://www.youtube.com/watch?v=UWzizzIxavg","2023-03-31",887
"Starting With YAML and PyYAML in Python","https://www.youtube.com/watch?v=AfD79cc2Kzg","2023-03-30",1795
"Lessons Learned From Four Years Programming With Python | Real Python Podcast #150","https://www.youtube.com/watch?v=aEU3JNAbPbo","2023-03-24",1417
"Using Python's Built-in sum() Function","https://www.youtube.com/watch?v=8gna3ET1qTU","2023-03-23",1212
"Coding With namedtuple & Python's Dynamic Superpowers | Real Python Podcast #149","https://www.youtube.com/watch?v=nN7TV_A2hrs","2023-03-17",1185
"Introduction to Sphinx Python Document Generation","https://www.youtube.com/watch?v=nZttMg_n_s0","2023-03-16",2630
"Sharing your Python App Across Platforms With BeeWare | Real Python Podcast #148","https://www.youtube.com/watch?v=t8_f5DMC3Vw","2023-03-10",1654
"Using Python's zipfile to Work With Existing Zip files","https://www.youtube.com/watch?v=vj7h7mhBqWo","2023-03-09",1646
"Django Deployment Strategies & Preparing for PyCascades 2023 | Real Python Podcast #147","https://www.youtube.com/watch?v=lao1z4uzTFU","2023-03-03",2668
"Working With Python's namedtuple()","https://www.youtube.com/watch?v=q_B-uxoVybU","2023-03-02",1687
"Using NumPy and Linear Algebra for Faster Python Code | Real Python Podcast #146","https://www.youtube.com/watch?v=wQHeImWvYV0","2023-02-24",2114
"Get Started With Windows Terminal - Code Conversation","https://www.youtube.com/watch?v=qnB044mHixc","2023-02-23",1247
"Creating a Python Wordle Clone & Testing Environments With Nox | Real Python Podcast #145","https://www.youtube.com/watch?v=jOtsfv2cLdQ","2023-02-17",1107
"Comparing Getters & Setters vs Python Properties","https://www.youtube.com/watch?v=klL3DosVX0k","2023-02-16",3003
"Wrangling Business Process Models With Python and SpiffWorkflow | Real Python Podcast #144","https://www.youtube.com/watch?v=_rkL7jYKdxw","2023-02-10",1722
"Starting Object Oriented Composition and Inheritance: Python Basics","https://www.youtube.com/watch?v=L4v9gKC7QxY","2023-02-09",3415
"Create Interactive Maps & Geospatial Data Visualizations With Python | Real Python Podcast #143","https://www.youtube.com/watch?v=8HIBxJM-GBE","2023-02-03",2701
"Get Started With Linux Terminal - Code Conversation","https://www.youtube.com/watch?v=DS-sx7cIul0","2023-02-02",1395
"Why I Chose Real Python","https://www.youtube.com/watch?v=xMnw2mSsynw","2023-01-28",1181
"Orchestrating Large and Small Projects With Apache Airflow | Real Python Podcast #142","https://www.youtube.com/watch?v=FjPHuqlnR_k","2023-01-27",1735
"Introduction to Python Object Oriented Programming: Python Basics","https://www.youtube.com/watch?v=9-7khkt3ReY","2023-01-26",3250
"Overcoming Challenges With Real Python","https://www.youtube.com/watch?v=kBLVeqdrVyE","2023-01-26",702
"Biggest Wins & Results With Real Python","https://www.youtube.com/watch?v=g_X3RnVMl-U","2023-01-25",793
"Exploring Python With bpython & Formalizing f-String Grammar | Real Python Podcast #141","https://www.youtube.com/watch?v=2kaPDVD1Qr8","2023-01-20",1655
"File Exercises Practice With pathlib: Python Basics","https://www.youtube.com/watch?v=8KHn7J7MSOo","2023-01-19",1932
"Speeding Up Your DataFrames With Polars | Real Python Podcast #140","https://www.youtube.com/watch?v=vLYCKWFeC3k","2023-01-13",2741
"Get Started With macOS Terminal - Code Conversation","https://www.youtube.com/watch?v=ElJsKAKrY_k","2023-01-12",994
"Surveying Comprehension Constructs &  Python Parallelism Infighting | Real Python Podcast #139","https://www.youtube.com/watch?v=atns6v9oeek","2023-01-06",1764
"Starting With Kivy to Build Cross-Platform GUI Apps","https://www.youtube.com/watch?v=crpQUc81THU","2023-01-05",4018
"2022 Real Python Tutorial & Video Course Wrap Up | Real Python Podcast #138","https://www.youtube.com/watch?v=rVEksrY9qNQ","2022-12-23",1763
"Introduction to File Paths and Python's pathlib: Python Basics","https://www.youtube.com/watch?v=P5rlLlztkNs","2022-12-22",2935
"Start Using a Build System & Continuous Integration in Python | Real Python Podcast #137","https://www.youtube.com/watch?v=04DIQnsVpCg","2022-12-16",3164
"Get Started Using Python Context Managers and the `with` Statement","https://www.youtube.com/watch?v=1gU18ctbEOo","2022-12-15",2208
"Package Python Code With pyproject.toml & Listing Files With pathlib | Real Python Podcast #136","https://www.youtube.com/watch?v=7a8WrmraBfE","2022-12-09",3526
"Introduction to Python Dictionaries: Python Basics","https://www.youtube.com/watch?v=phYVRjr6rFY","2022-12-08",2412
"Preparing Data to Measure True Machine Learning Model Performance |  Real Python Podcast #135","https://www.youtube.com/watch?v=xXPgGSWCHpM","2022-12-02",5022
"Starting With Python's pathlib Module","https://www.youtube.com/watch?v=S5UOze6T1jg","2022-12-01",3427
"Building Python REST APIs With Flask & Structuring Pull Requests | Real Python Podcast #134","https://www.youtube.com/watch?v=JULQPNT5Q0w","2022-11-25",9012
"Packaging Your Python Code With pyproject.toml | Complete Code Conversation","https://www.youtube.com/watch?v=v6tALyc4C10","2022-11-24",14928
"Moving Projects Away From Passwords With WebAuthn and Python | Real Python Podcast #133","https://www.youtube.com/watch?v=52ecatIqjUA","2022-11-18",4666
"First Steps for Deploying a Django App","https://www.youtube.com/watch?v=JYkEOLtkxlY","2022-11-17",1912
"Creating Tic-Tac-Toe With an AI Player & Shortcuts for Python Decorators | Real Python Podcast #132","https://www.youtube.com/watch?v=mW3KRtLzibY","2022-11-11",2329
"Preparing Python Code to Get Help: Code Conversation","https://www.youtube.com/watch?v=UZzKPqKiw1k","2022-11-10",1881
"Exploring the New Features of Python 3.11 | Real Python Podcast #131","https://www.youtube.com/watch?v=XttkpzvsFvU","2022-11-04",6712
"Introduction to Scope in Python: Python Basics","https://www.youtube.com/watch?v=tGaSzFexiDg","2022-11-03",2376
"Faster Code Execution in Python 3.11 and Improved Tracebacks","https://www.youtube.com/watch?v=2fji9sEa88c","2022-10-27",2556
"Fostering an Internal Python Community & Managing the 3.11 Release | Real Python Podcast #130","https://www.youtube.com/watch?v=NFrbbOf-_2U","2022-10-21",1158
"Introduction to Integers and Floating Point Numbers: Python Basics","https://www.youtube.com/watch?v=Nc1BhYKs56Y","2022-10-20",1491
"Using an Ellipsis in Python & Goals for CPython 3.12  | Real Python Podcast #129","https://www.youtube.com/watch?v=HeuiKKSuJh8","2022-10-14",1619
"Defining Multiple Constructors in Python","https://www.youtube.com/watch?v=QdlgxE4PdFU","2022-10-13",2059
"Using a Memory Profiler in Python & What It Can Teach You | Real Python Podcast #128","https://www.youtube.com/watch?v=VCsj7ZdFpaM","2022-10-07",3099
"String Fundamentals, Concatenation, Indexing and Slicing: Python Basics","https://www.youtube.com/watch?v=WGHBaMOeamQ","2022-10-06",1891
"Explaining Access Control Using Python & Cautiously Handling Pickles | Real Python Podcast #127","https://www.youtube.com/watch?v=yPL9Kla2dd8","2022-09-30",1968
"Starting With REST APIs and Django Ninja","https://www.youtube.com/watch?v=W9d_vXGpxs0","2022-09-29",1883
"Python as an Efficiency Tool for Non-Developers | Real Python Podcast #126","https://www.youtube.com/watch?v=T72m-ODuXJ4","2022-09-23",6450
"Creating Python Function docstrings and Running doctests","https://www.youtube.com/watch?v=V6Fl2x7kyeg","2022-09-22",5188
"Improve Matplotlib With Style Sheets & Python Async for the Web  | Real Python Podcast #125","https://www.youtube.com/watch?v=hn0QIaWYo-w","2022-09-16",1841
"Introduction to Conditional Logic in Python: Python Basics","https://www.youtube.com/watch?v=bD1JCaRrNTo","2022-09-15",1400
"Real Python Community Members: Bob Frederick","https://www.youtube.com/watch?v=91JfnfjUZ3o","2022-09-12",643
"Exploring Recursion in Python With Al Sweigart | Real Python Podcast #124","https://www.youtube.com/watch?v=8zhFu-pGafg","2022-09-09",2585
"Getting Started Building a Python CLI With argparse","https://www.youtube.com/watch?v=znuocj_7PMc","2022-09-08",3308
"Creating a Python Code Completer & More Abstract Syntax Tree Projects | Real Python Podcast #123","https://www.youtube.com/watch?v=CiyrZdmBHfE","2022-09-02",1385
"Creating Functions in Python: Python Basics","https://www.youtube.com/watch?v=Q93bwyZoXk0","2022-09-01",2371
"Real Python Community Members: John Tocher","https://www.youtube.com/watch?v=eCSkBVSLF2g","2022-08-28",539
"Real Python Community Members: Glenn Lehman","https://www.youtube.com/watch?v=E9GDgUDeM9U","2022-08-28",335
"Real Python Community Members: Blaise Pabon","https://www.youtube.com/watch?v=Esf7-TtmTfI","2022-08-28",243
"Real Python Community Members: David Kedrosky","https://www.youtube.com/watch?v=FdQQkqtdPCY","2022-08-27",348
"Real Python Community Members: Alex Elder","https://www.youtube.com/watch?v=_0mmwqqtsVw","2022-08-26",200
"Real Python Community Members: Jamison Morse","https://www.youtube.com/watch?v=bWLa3VrnEng","2022-08-26",368
"Real Python Community Members: Hugh Tipping","https://www.youtube.com/watch?v=D0m5FSUfy2s","2022-08-25",209
"Configuring a FastAPI Python Project - The First Steps of URL Shortener App","https://www.youtube.com/watch?v=fNJByresc4g","2022-08-25",3783
"Real Python Community Members: David Dahan","https://www.youtube.com/watch?v=woYV3wnCOqQ","2022-08-25",269
"Real Python Community Members: Milo Douglas Berg","https://www.youtube.com/watch?v=iEsUHKboSSI","2022-08-25",245
"Real Python Community Members: Nadir Abdulhaqq","https://www.youtube.com/watch?v=jRVJ0TF-iAA","2022-08-22",563
"Real Python Community Members: Leona Rodenkirchen","https://www.youtube.com/watch?v=aAfpVWVxGpg","2022-08-20",1101
