"Title","video_url","Published_date","Views"
"Is This Language Replacing Python?!","https://www.youtube.com/watch?v=21WFgScvrdg","2023-05-31",24601
"How To Prepare For Big Programming Projects","https://www.youtube.com/watch?v=LJmv_9EV7e8","2023-05-30",10014
"Will AI Replace Programmers?","https://www.youtube.com/watch?v=Liz-F0pY1Pw","2023-05-28",6744
"How Should You Use ChatGPT As A Developer?","https://www.youtube.com/watch?v=RK9mfuFgm54","2023-05-28",13243
"The ULTIMATE Setup for Coding & Productivity","https://www.youtube.com/watch?v=niR4e1J_G40","2023-05-27",16115
"How I Balance My Life As A Software Engineer","https://www.youtube.com/watch?v=CLrNPo0B68I","2023-05-25",18224
"Create A Python API in 12 Minutes","https://www.youtube.com/watch?v=zsYIw6RXjfM","2023-05-23",22160
"Python 101: Learn the 5 Must-Know Concepts","https://www.youtube.com/watch?v=mMv6OSuitWw","2023-05-20",104854
"The TOP 5 Beginner Programmer Mistakes","https://www.youtube.com/watch?v=96_fLPC8hOU","2023-05-19",8846
"How to Stay Motivated as a Self-Taught Developer","https://www.youtube.com/watch?v=sZ0uYHnlAuk","2023-05-17",14149
"How to Stay Motivated as a Self-Taught Developer","https://www.youtube.com/watch?v=sZ0uYHnlAuk","2023-05-17",7648
"My Top Tips For Computer Science Students","https://www.youtube.com/watch?v=ravzCiGpZ28","2023-05-16",33757
"My Top Tips For Computer Science Students","https://www.youtube.com/watch?v=ravzCiGpZ28","2023-05-16",17189
"STOP Making These 5 JavaScript Mistakes!","https://www.youtube.com/watch?v=QAF1bg8KoK4","2023-05-15",6838
"STOP Making These 5 JavaScript Mistakes!","https://www.youtube.com/watch?v=QAF1bg8KoK4","2023-05-15",8119
"How I Prepared For Microsoft and Shopify Coding Interviews","https://www.youtube.com/watch?v=RRLYK3emhJg","2023-05-14",8226
"The BEST Advice For Acing Your Tech Interviews","https://www.youtube.com/watch?v=IR8ql3wAXzg","2023-05-13",9378
"Becoming a Self-Taught Developer","https://www.youtube.com/watch?v=MDb5vODM1r8","2023-05-12",14391
"The FASTEST Way To Become a Coding Content Creator","https://www.youtube.com/watch?v=ncmMPbHD7uY","2023-05-11",11083
"Asynchronous Programming in a Nutshell","https://www.youtube.com/watch?v=v6sI1tidSw8","2023-05-10",17898
"ChatGPT Changed How I Write Code...","https://www.youtube.com/watch?v=gW92DcU1s-U","2023-05-09",35529
"Django VS Flask - Which Should You Learn","https://www.youtube.com/watch?v=Gj02l0R1drM","2023-05-08",20186
"5 Tips For Writing Better Code","https://www.youtube.com/watch?v=eFhypUFY1Ws","2023-05-07",11394
"The 45 Second Self Taught Developer Roadmap","https://www.youtube.com/watch?v=yId3Hq-SIvo","2023-05-03",28991
"I Was Wrong About ChatGPT Replacing Programmers","https://www.youtube.com/watch?v=C_teb93alL4","2023-05-02",146483
"Should You Avoid Learning Python? One Surprising Reason to Consider","https://www.youtube.com/watch?v=GjUcWNj6Zrc","2023-05-01",14510
"How Much $$$ I Made From My 10 Million View Coding Livestream","https://www.youtube.com/watch?v=3SoRlkMS2lQ","2023-04-30",96763
"The BEST advice for junior developers","https://www.youtube.com/watch?v=1OdKhKHHzcY","2023-04-29",54517
"Programming side hustles you can start TODAY","https://www.youtube.com/watch?v=As6QAVuEqDY","2023-04-28",25108
"5 Python Modules Every Web Developer Must Learn","https://www.youtube.com/watch?v=_lMUYQ0PQ0U","2023-04-27",45963
"GitHub Actions (Branch Protection, Automated Testing) - Full Tutorial","https://www.youtube.com/watch?v=UEOtZvTCmDo","2023-04-26",14709
"The earning differences in Big Tech: US vs Non-US","https://www.youtube.com/watch?v=KsVqK4JmY2c","2023-04-25",140475
"Python vs Javascript - Which should you learn?","https://www.youtube.com/watch?v=JmhgkCk865o","2023-04-24",36483
"Get Inspired With This Advanced Programming Project Idea","https://www.youtube.com/watch?v=2BX63Zgl43U","2023-04-24",15496
"My Software Engineering Journey & Salaries ($$$)","https://www.youtube.com/watch?v=uaG-xp1X5LU","2023-04-23",68180
"Why Python is the Perfect First Language to Learn","https://www.youtube.com/watch?v=xnFGXXYhW_I","2023-04-22",14302
"Why Learning to Code is a Must","https://www.youtube.com/watch?v=_AUcXe2kI7U","2023-04-21",15800
"The Truth About Machine Learning and AI Revealed","https://www.youtube.com/watch?v=9zKDWiiHLmM","2023-04-20",10996
"The Underrated Skill That Can Make You a Great Programmer","https://www.youtube.com/watch?v=IAo4Q1IvJxA","2023-04-19",12130
"Learn TypeScript in 30 Minutes!","https://www.youtube.com/watch?v=cDeTUYkaEkg","2023-04-18",13733
"The Perfect Beginner Programming Project Idea","https://www.youtube.com/watch?v=Y_0ReCfEDck","2023-04-17",11595
"One Of The TOP Habits of God-Tier Programmers!","https://www.youtube.com/watch?v=zhUjpnTbgUE","2023-04-16",10614
"Understanding Network Communication: The Definition of a Packet Explained","https://www.youtube.com/watch?v=BkIqDz_rmO8","2023-04-15",6047
"Automate Your Life With Code!","https://www.youtube.com/watch?v=JdI_b1StvpE","2023-04-14",28782
"Deploy & Use a Stable Diffusion AI Art Generator - In Minutes","https://www.youtube.com/watch?v=6sUDDsHVM90","2023-04-13",14223
"What is Backend Programming? Explained in 60 Seconds!","https://www.youtube.com/watch?v=6BVCdixuj5s","2023-04-11",10254
