"Title","video_url","Published_date","Views"
"Beware of startup tarpit ideas.","https://www.youtube.com/watch?v=wUjX6fpBBTI","2023-05-30",5620
"How Generosity Built Tech Giants","https://www.youtube.com/watch?v=RD5EAMOh7fE","2023-05-30",17552
"3 common YC interview mistakes","https://www.youtube.com/watch?v=ythRYUxLEks","2023-05-23",3195
"The Immigrant Journey Behind A Silicon Valley Success Story","https://www.youtube.com/watch?v=PZqt2Y84gf0","2023-05-16",13597
"The Immigrant Journey Behind A Silicon Valley Success Story","https://www.youtube.com/watch?v=PZqt2Y84gf0","2023-05-16",22246
"How to Apply And Succeed at Y Combinator | Startup School","https://www.youtube.com/watch?v=B5tU2447OK8","2023-05-12",14288
"Don't make the investor your customer.","https://www.youtube.com/watch?v=YU0kYWNuMXo","2023-05-10",7663
"The secret to better product demos","https://www.youtube.com/watch?v=rNPJKpmp3TM","2023-05-07",6638
"Learning is so much easier when you care about your customers.","https://www.youtube.com/watch?v=rqiUudrLoHk","2023-05-01",8688
"Reasons to do YC.","https://www.youtube.com/watch?v=cyWjherSNFE","2023-04-28",9964
"Secrets You Can Learn From Your Customers","https://www.youtube.com/watch?v=IdwYMfM2QMs","2023-04-28",34393
"Being accessible is one of the major advantages startups have over big companies.","https://www.youtube.com/watch?v=xv2XJ98MHMU","2023-04-26",16116
"The Most Money Raised game","https://www.youtube.com/watch?v=GlALy_viycE","2023-04-24",12094
"Learn to truly care about your customers.","https://www.youtube.com/watch?v=9kEsZkkFO1s","2023-04-21",10346
"Tips For Technical Startup Founders | Startup School","https://www.youtube.com/watch?v=rP7bpYsfa6Q","2023-04-21",53948
"Change the way you think about launching.","https://www.youtube.com/watch?v=PpNHP3-KXoE","2023-04-19",8784
"Your outreach emails should probably pass this test before you hit send.","https://www.youtube.com/watch?v=ZIj_oFk2Af0","2023-04-17",14900
"The Student's Guide To Becoming A Successful Startup Founder","https://www.youtube.com/watch?v=O5KCB2p6SB8","2023-04-14",57159
"Care about your customers. It’s your startup’s superpower.","https://www.youtube.com/watch?v=tCcNb5DlH2c","2023-04-13",16523
"Doing these things might feel good, but they won’t derisk your startup.","https://www.youtube.com/watch?v=zuADJKphtxE","2023-04-11",12057
"How do you prioritize your tasks?","https://www.youtube.com/watch?v=UHRai4geWQ4","2023-04-06",13506
"Inside The Most Powerful Startup Community In The World","https://www.youtube.com/watch?v=EiRnSjcVIqk","2023-04-04",61641
"Investors don’t validate your startup — users do.","https://www.youtube.com/watch?v=mzBrYp3d0y0","2023-04-03",11960
"What are some things you’ve had to unlearn?","https://www.youtube.com/watch?v=MDB_TbJLJuw","2023-03-30",13689
"How Startup Fundraising Works | Startup School","https://www.youtube.com/watch?v=zBUhQPPS9AY","2023-03-29",68271
"How do you structure your schedule to be most productive?","https://www.youtube.com/watch?v=kWaVHPexucA","2023-03-27",13910
"Hedging your bets while starting a startup?","https://www.youtube.com/watch?v=17Yj1OWRm2U","2023-03-22",14564
"Launch quickly, and iterate.","https://www.youtube.com/watch?v=fetC2EpDtN8","2023-03-16",14862
"How to Build An MVP | Startup School","https://www.youtube.com/watch?v=QRZ_l7cVzzU","2023-03-15",285638
"Is your startup default alive, or default dead?","https://www.youtube.com/watch?v=BYhxNYD6jNg","2023-03-09",8675
"YC Fireside: Surbhi Sarna + Adam Elsesser - CEO of Penumbra","https://www.youtube.com/watch?v=xNjGnDHaIm4","2023-03-06",5553
"How To Earn Customers For Life","https://www.youtube.com/watch?v=LJay5YW4fLA","2023-03-03",64741
"YC Fireside: Surbhi Sarna + Reshma Shetty and Jason Kelly - Founders of Ginkgo Bioworks","https://www.youtube.com/watch?v=KojkO74LKPc","2023-03-03",6454
"YC Fireside: Surbhi Sarna and Tracy Young - Founder of TigerEye and PlanGrid","https://www.youtube.com/watch?v=mlfqx05U8tA","2023-03-02",4576
"The REAL potential of generative AI","https://www.youtube.com/watch?v=hQC5O3WTmuo","2023-02-28",433996
"The Hard Conversations Founders Don't Want to Have","https://www.youtube.com/watch?v=hUbM-bURoJE","2023-02-23",47956
"Hiring a FAANG engineer won’t miraculously save your startup","https://www.youtube.com/watch?v=eUvMhQKrojE","2023-02-16",15758
"Real vs. Fake progress","https://www.youtube.com/watch?v=Lg3n4cChF1M","2023-02-14",10994
"The Best Way To Launch Your Startup | Startup School","https://www.youtube.com/watch?v=u36A-YTxiOw","2023-02-09",94988
"Could your side project become a startup?","https://www.youtube.com/watch?v=bM_f0Ah7VGw","2023-02-08",13782
"Did you know that these companies had more than one founder?","https://www.youtube.com/watch?v=2ymwrUvnd-A","2023-02-07",12925
"The Cult of Conformity in Silicon Valley","https://www.youtube.com/watch?v=ia7IKW0yuG0","2023-02-05",59510
"The best way to price any product","https://www.youtube.com/watch?v=czQxHhp7jec","2023-02-02",18096
"Keys To Successful Co-Founder Relationships | Startup School","https://www.youtube.com/watch?v=A4SLDQDXdp0","2023-01-12",51425
"The Secrets To Setting Smarter Goals","https://www.youtube.com/watch?v=rE2XaBGHN2I","2023-01-11",77143
