"Title","video_url","Published_date","Views"
"Salesforce Interview Questions & Answers | Salesforce Interview Prep | Salesforce | Edureka Rewind","https://www.youtube.com/watch?v=vV4StsBvVbw","2023-06-01",926
"Triggers in SQL | Triggers In Database | SQL Triggers Tutorial For Beginners | Edureka Rewind","https://www.youtube.com/watch?v=Vuz62mzmJIs","2023-05-31",0
"Projects in Google Cloud Platform  | GCP Project Structure  | GCP Training | Edureka Rewind","https://www.youtube.com/watch?v=KJVCLm2w-HM","2023-05-31",1157
"AWS DevOps Explained in 60 Minutes  | AWS DevOps Integration | AWS Training  | Edureka Live","https://www.youtube.com/watch?v=ROuUNP3GME8","2023-05-31",524
"TestNG Annotations in Selenium | Selenium Tutorial For Beginners | Selenium  | Edureka Rewind - 3","https://www.youtube.com/watch?v=DjE_lW4wATw","2023-05-31",627
"Top 65 SQL Interview Question and Answers  |  SQL Training | Edureka Rewind","https://www.youtube.com/watch?v=tYNSSQrDbgU","2023-05-31",395
"Introduction to Salesforce | Salesforce Tutorial for Beginners | Salesforce Training |Edureka Rewind","https://www.youtube.com/watch?v=1CDZZ_cy1Bw","2023-05-31",419
"Security in Salesforce | Security Levels in Salesforce | Salesforce Training  | Edureka Rewind","https://www.youtube.com/watch?v=tpCbUTdROr8","2023-05-31",849
"SQL for beginners in 60 minutes  | Learn SQL | SQL Tutorial for Beginners | Edureka Rewind","https://www.youtube.com/watch?v=ofB7phxzaFQ","2023-05-31",561
"Reports and Dashboards In salesforce | Salesforce For Beginners | Salesforce  | Edureka Rewind","https://www.youtube.com/watch?v=oOmoU5xFjUs","2023-05-31",693
"What Is Selenium  | Selenium Tutorial For Beginner | Selenium Training | Edureka  Rewind","https://www.youtube.com/watch?v=hHEePVSxe24","2023-05-30",802
"GCP Interview Questions | Top 50 Google Cloud Interview Questions & Answers | GCP | Edureka Rewind","https://www.youtube.com/watch?v=auYm1tFtNzU","2023-05-30",808
"What is Azure?  | Azure Tutorial For Beginners  | Microsoft Azure Training | Edureka Rewind","https://www.youtube.com/watch?v=RXfHHfkt2MQ","2023-05-30",421
"Google Cloud Storage | Google Cloud Platform Tutorial | Google Cloud Architect | Edureka Rewind","https://www.youtube.com/watch?v=Uf--nq8-ICU","2023-05-30",895
"What are Azure Database Services  | Deploying a Database on Azure | Azure  | Edureka Rewind","https://www.youtube.com/watch?v=Qw33GeoH6rU","2023-05-30",737
"Top Tableau Projects Explained in 60 Minutes   | Tableau Tutorial | Edureka  Live","https://www.youtube.com/watch?v=1bmpoqucACM","2023-05-30",525
"What is Cryptography? | Introduction to Cryptography | Cryptography for Beginners | Edureka Rewind","https://www.youtube.com/watch?v=C2pbZooEGxU","2023-05-30",1420
"Cybersecurity Tutorial | Demo On Man In The Middle Attack | Cybersecurity Training  | Edureka Rewind","https://www.youtube.com/watch?v=xc-rnokN8J0","2023-05-30",1273
"Types of Threats in Cybersecurity in 2023 | Cybersecurity Training | Edureka  Rewind","https://www.youtube.com/watch?v=CVf2tpYJ6Xg","2023-05-30",1404
"What is Prompt Engineering? | ChatGPT Prompt Engineering  Explained | ChatGPT4 | Edureka","https://www.youtube.com/watch?v=-nSd9X51MPs","2023-05-30",514
"Cybersecurity Certifications | Cybersecurity Career | Cybersecurity  Training | Edureka Rewind","https://www.youtube.com/watch?v=T5dbu9p1Mew","2023-05-29",703
"Power BI Charts Tutorial | Counter Strike Data Analysis using Power BI | Power BI | Edureka  Rewind","https://www.youtube.com/watch?v=rPccPG4Nlyg","2023-05-29",821
"Power Query Tutorial for beginners  | Power BI Desktop Tutorial  | Power BI | Edureka Rewind","https://www.youtube.com/watch?v=8RODTz_2vX4","2023-05-29",720
"PowerBI Charts Explained in 60 Minutes  | Data Visualization using Power BI | Edureka  Live","https://www.youtube.com/watch?v=F2QXHVWeJxk","2023-05-29",939
"Top 5 ChatGPT Plugins | AI Plugins | ChatGPT Tutorial |  Edureka","https://www.youtube.com/watch?v=nuDsq4Zz-jk","2023-05-29",939
"What is Data Science? | Introduction to Data Science | Data Science Tutorial  | Edureka Rewind","https://www.youtube.com/watch?v=BDypIX49D5w","2023-05-29",1726
"Python for Data Science  |  Python Training  |  Data Science tutorial  | Edureka  Rewind","https://www.youtube.com/watch?v=CCv_G2BKP-Q","2023-05-29",1815
"Statistics & Probability for Data Science  | Data Science Tutorial  | Edureka  Rewind","https://www.youtube.com/watch?v=1Hm4OXBmoaU","2023-05-29",1573
"What is Power Query in Power BI  | Power BI Tutorial | Edureka  Rewind","https://www.youtube.com/watch?v=HQ9IZ2c_xmA","2023-05-29",914
"Ethical Hacking Tutorial For Beginners | Ethical Hacking Course | Ethical Hacking | Edureka Rewind","https://www.youtube.com/watch?v=HrANI9Vgjco","2023-05-28",1306
"Coding For Cybersecurity | Programming In Cybersecurity | Cybersecurity  | Edureka Rewind","https://www.youtube.com/watch?v=7ZO6sNSs1lg","2023-05-28",1101
"Web and Excel Automation | UiPath Examples | UiPath Training | Edureka  Rewind","https://www.youtube.com/watch?v=zr3DOdY--_A","2023-05-28",1721
"Complete Ethical Hacking Course| Ethical Hacking Training for Beginners | Edureka Rewind","https://www.youtube.com/watch?v=jOP-I3mcC6w","2023-05-28",2408
"Climate Change using Time Series  | Python Projects  | Data Science  |  Edureka Rewind","https://www.youtube.com/watch?v=huNTC4Zw2S8","2023-05-28",736
"RPA Projects in 60 Minutes | Automation Anywhere | Real-Life RPA Projects | Edureka Rewind","https://www.youtube.com/watch?v=nitPMnyz1ek","2023-05-28",1411
"RPA Developer Salary | Average Salary of a RPA Developer in India & US  | Edureka Rewind","https://www.youtube.com/watch?v=19HXY6jOnQM","2023-05-27",703
"Who is a RPA Developer?  | Robotic Process Automation Training  | RPA Training | Edureka Rewind","https://www.youtube.com/watch?v=M74SVc4TGeE","2023-05-27",932
"Cybersecurity Career Paths| Skills Required in Cybersecurity Career | Edureka Rewind","https://www.youtube.com/watch?v=OiPhI7xNpt0","2023-05-27",765
"How To Visualize Data Using Tableau  | Tableau Tutorial for Beginners | Edureka Rewind","https://www.youtube.com/watch?v=r2bth1eaGUI","2023-05-27",1181
"LOD Expressions in Tableau  | Level of Detail in Tableau | Tableau Tutorial | Edureka Rewind","https://www.youtube.com/watch?v=5sfEv8KgkKM","2023-05-27",1118
"Cybersecurity Question and Answers | Cybersecurity Interview Tips | Edureka Rewind","https://www.youtube.com/watch?v=VjVzH6hrCD8","2023-05-27",600
"Advanced tableau tutorial | Trend Forecasting, Advanced Charts & R Integration | Edureka Rewind","https://www.youtube.com/watch?v=bCOARNayYvg","2023-05-27",552
"Network Security Tutorial | Cybersecurity Training | Edureka  Rewind","https://www.youtube.com/watch?v=hV26R7rqvDA","2023-05-27",1824
"Power BI Crash Course   | How to use Power BI  | Power BI   Tutorial | Edureka Rewind","https://www.youtube.com/watch?v=emeHhus2uzg","2023-05-26",1479
"Power BI Certifications | Power BI Exam Certification | Power BI  Training | Edureka Rewind","https://www.youtube.com/watch?v=8AdD2nh5lXM","2023-05-26",1326
"Tableau Online Tutorial | What is Tableau Online | Tableau Training | Edureka Rewind","https://www.youtube.com/watch?v=7kLIs6RoMXw","2023-05-26",604
"CEH vs CISSP vs CompTIA Security+:Which is right for you? | Best IT Security Certification | Edureka","https://www.youtube.com/watch?v=6ye-6ggAy48","2023-05-26",1244
"Design and Publish Dashboards in Power BI  | Power BI Dashboard Tutorial | Edureka  Rewind","https://www.youtube.com/watch?v=PW4SH0GiHHk","2023-05-26",628
"Power BI - Azure | Power BI Integration with Azure |  PowerBI  Tutorial | Edureka Rewind","https://www.youtube.com/watch?v=u4c9T0aFoMw","2023-05-26",813
"Azure Portal Tutorial For Beginners | Azure Certification Training | Azure Tutorial| Edureka Rewind","https://www.youtube.com/watch?v=93sgrXxFfTY","2023-05-26",465
"Azure Data Engineering in 60 minutes  | Microsoft Azure Training  | Edureka Live","https://www.youtube.com/watch?v=f1MIpsyBJJg","2023-05-26",441
"Selenium Crash Course  | Selenium Training | Testing  Tutorial | Edureka Rewind","https://www.youtube.com/watch?v=PQge2O0mZc4","2023-05-25",2270
"Page Object Model in Selenium Webdriver  | Page Object Model with Page Factory | Edureka Rewind","https://www.youtube.com/watch?v=wFnvsG6oB_Q","2023-05-25",851
"Selenium Python Explained  |  Python Selenium |  Selenium Training | Edureka  Live","https://www.youtube.com/watch?v=s78rIzOSMN4","2023-05-25",672
"Regular Expressions in Python | Regular Expressions | Python Training | Edureka  Rewind","https://www.youtube.com/watch?v=J0utrphqSRs","2023-05-25",638
"Data Structures & Algorithms in Python | Data Structures in Python | Python | Edureka Rewind","https://www.youtube.com/watch?v=iJcGUVzqxiU","2023-05-25",1603
"Functions and OOP in Python  |  Functions in Python |  Python  Tutorial  | Edureka Rewind","https://www.youtube.com/watch?v=UL1u95nDxzk","2023-05-25",1289
"How to use Pandas in Python | Python Pandas Tutorial  | Python Tutorial  |  Edureka  Rewind","https://www.youtube.com/watch?v=oJOSxNVoOrM","2023-05-25",975
"Java Tutorial for Beginners | Java Basics | Java Certification Training | Edureka Rewind","https://www.youtube.com/watch?v=nxZMIlHJTDs","2023-05-24",918
