"Title","video_url","Published_date","Views"
"Pro Django - Tutorial 10 - Setting Up Our Domain Name","https://www.youtube.com/watch?v=eDlqXOw-hA4","2023-05-30",1529
"Pro Django - Tutorial 8 - GitHub Actions and Workflows","https://www.youtube.com/watch?v=YLC1hnqSluM","2023-05-27",1094
"Pro Django - Tutorial 9 - CI/CD","https://www.youtube.com/watch?v=zCz6xEFqOXE","2023-05-27",2170
"Pro Django - Tutorial 7 - pytest","https://www.youtube.com/watch?v=hqYUAVobDJA","2023-05-25",1757
"Pro Django - Tutorial 5 - Deploying the Backend","https://www.youtube.com/watch?v=nv9c0WR52l8","2023-05-24",379
"Pro Django - Tutorial 6 - Deploying the Frontend","https://www.youtube.com/watch?v=62RQTgE5lYA","2023-05-24",874
"Pro Django - Tutorial 4 - Docker","https://www.youtube.com/watch?v=bTlK4CeicnE","2023-05-23",1718
"tnbOS","https://www.youtube.com/watch?v=x9HdcrIt8jA","2023-03-12",15829
"Pro Django - Tutorial 3 - Logging","https://www.youtube.com/watch?v=sGbzjzO1LHI","2023-02-22",5866
"Electron, React, and Redux - Tutorial 17 - Recharts","https://www.youtube.com/watch?v=C8xFoJE2oeQ","2023-02-07",5403
"Pro Django - Tutorial 2 - EditorConfig, Flake8, and pre-commit","https://www.youtube.com/watch?v=G0nZtRRlwtI","2023-02-07",4562
"Pro Django - Tutorial 1 - Project Structure, Poetry, Makefile, and Settings Management","https://www.youtube.com/watch?v=DaxcmbWcdTA","2023-02-04",18199
"Electron, React, and Redux - Tutorial 16 - University App","https://www.youtube.com/watch?v=6zDtuxDQbYY","2023-01-28",6805
"Electron, React, and Redux - Tutorial 14 - Finishing Timer Functionality","https://www.youtube.com/watch?v=ACLz-rFLzOs","2022-12-02",1387
"Electron, React, and Redux - Tutorial 12 - Listening for Incoming Messages","https://www.youtube.com/watch?v=O0ksrgUSWK8","2022-12-02",751
"Electron, React, and Redux - Tutorial 13 - Improving Accuracy and UI","https://www.youtube.com/watch?v=trb6zYCgEdc","2022-12-02",967
"Electron, React, and Redux - Tutorial 15 - Adding Custom Font","https://www.youtube.com/watch?v=dECDRwCC1YA","2022-12-02",6412
"Electron, React, and Redux - Tutorial 11 - Sending Messages","https://www.youtube.com/watch?v=BV8vmo4hL8k","2022-12-02",502
"Electron, React, and Redux - Tutorial 10 - Updating Connection Status","https://www.youtube.com/watch?v=OT7buS5rg78","2022-11-28",2710
"Electron, React, and Redux - Tutorial 9 - Connecting UI Elements to Redux","https://www.youtube.com/watch?v=2Qsf_JFm9Mo","2022-11-28",3543
"Electron, React, and Redux - Tutorial 8 - Modals","https://www.youtube.com/watch?v=yetTMdchEpE","2022-11-27",3367
"Electron, React, and Redux - Tutorial 7 - Setting Up the Redux Store","https://www.youtube.com/watch?v=dUz5P47mw2M","2022-11-27",2724
"Electron, React, and Redux - Tutorial 6 - Finishing the Remaining Styling","https://www.youtube.com/watch?v=CzgAE_bMisU","2022-11-23",3206
"Electron, React, and Redux - Tutorial 5 - Top Card Styling","https://www.youtube.com/watch?v=t231KPrOW9g","2022-11-22",5781
"Electron, React, and Redux - Tutorial 2 - Platform MVP","https://www.youtube.com/watch?v=bBI5KMExppQ","2022-11-21",5513
"Electron, React, and Redux - Tutorial 4 - Speed Test App","https://www.youtube.com/watch?v=Lvs9rE4rw14","2022-11-21",4343
"Electron, React, and Redux - Tutorial 3 - Deploying a Core Server","https://www.youtube.com/watch?v=8H4fJCp121I","2022-11-21",2264
"Electron, React, and Redux - Tutorial 1 - Overview","https://www.youtube.com/watch?v=eLNHhLIiG1s","2022-11-20",12592
"Loopring Explained - Tutorial 2 - How to Use Loopring.io","https://www.youtube.com/watch?v=IcNtuCWkWpo","2022-03-05",24764
"Loopring Explained - Tutorial 1 - What is Loopring?","https://www.youtube.com/watch?v=XCMWDfwUINA","2022-03-03",22704
"Docker - Tutorial 13 - Unnecessary Rebuilds and dockerignore File","https://www.youtube.com/watch?v=u5ccLaeL0iI","2022-02-23",10760
"Ethereum - Tutorial 11 - Truffle Migrations Deep Dive","https://www.youtube.com/watch?v=esWNE9IzqVo","2022-02-08",9429
"Ethereum - Tutorial 10 - Overview of WebStorm, Truffle, & Ganache","https://www.youtube.com/watch?v=J2jN9k0TNJQ","2022-01-30",7229
"Ethereum - Tutorial 9 - Writing Our First Smart Contract With Remix","https://www.youtube.com/watch?v=eEQ41gD0iC4","2022-01-27",15462
"Ethereum - Tutorial 8 - MetaMask Wallet","https://www.youtube.com/watch?v=YKgo-G2juC8","2022-01-23",12743
"Ethereum - Tutorial 7 - Gas and Fees","https://www.youtube.com/watch?v=dmguh81VBQ8","2022-01-22",12808
"Ethereum - Tutorial 6 - Proof of Stake vs. Proof of Work Explained","https://www.youtube.com/watch?v=TcYdEAWch_4","2022-01-21",9263
"Ethereum - Tutorial 5 - Blockchain, Blocks, and Mining","https://www.youtube.com/watch?v=zQdoOrVXVSU","2022-01-19",11780
"Ethereum - Tutorial 4 - Transactions","https://www.youtube.com/watch?v=SfFyeB0FsT8","2022-01-18",15812
"Ethereum - Tutorial 3 - Private Keys, Public Keys, and Account Addresses","https://www.youtube.com/watch?v=AiB5x7iDGJ4","2022-01-17",22893
"Ethereum - Tutorial 1 - Overview, Smart Contracts, and dApps Explained","https://www.youtube.com/watch?v=4cRXEGduA-o","2022-01-16",40846
"Ethereum - Tutorial 2 - Ether","https://www.youtube.com/watch?v=VCMq2DsWP3g","2022-01-16",16407
"Python vs Java for Beginners 2022","https://www.youtube.com/watch?v=zFo0_AVdUbc","2021-12-29",36126
"Discord Bot with Python - Tutorial 10 - Deposit Confirmations","https://www.youtube.com/watch?v=BQJiUj12PvY","2021-10-05",8080
"Discord Bot with Python - Tutorial 9 - Receiving Deposits","https://www.youtube.com/watch?v=9vqA2OBREOA","2021-10-05",3617
"Discord Bot with Python - Tutorial 8 - Registration Logic","https://www.youtube.com/watch?v=heTj_a0Ghb4","2021-10-04",5578
"Discord Bot with Python - Tutorial 7 - Crypto Integration","https://www.youtube.com/watch?v=2AYNHncLjgw","2021-10-04",5562
"Discord Bot with Python - Tutorial 6 - Help and Embeds","https://www.youtube.com/watch?v=XzcJ4p0R6NY","2021-09-28",9558
"Discord Bot with Python - Tutorial 4 - Roles Bot","https://www.youtube.com/watch?v=iRHBGZWOwVo","2021-09-26",13277
"Discord Bot with Python - Tutorial 5 - Custom Commands","https://www.youtube.com/watch?v=-WbEpr-qtW8","2021-09-26",20370
"Discord Bot with Python - Tutorial 3 - Reactions and Message Edits","https://www.youtube.com/watch?v=XL6ABuJ0XO0","2021-09-07",27070
"Discord Bot with Python - Tutorial 2 - Responding to Messages","https://www.youtube.com/watch?v=DZLqwGVSpwA","2021-09-06",37749
"Discord Bot with Python - Tutorial 1 - Getting Started","https://www.youtube.com/watch?v=Mm8I_ftfjPs","2021-09-05",42696
"Docker - Tutorial 11 - Creating a Realistic Project","https://www.youtube.com/watch?v=BG3f0E_4HiE","2021-07-04",10161
"Docker - Tutorial 12 - Debugging and Running Our Project","https://www.youtube.com/watch?v=V9N4K-Pt4w4","2021-07-04",16385
"Docker - Tutorial 10 - COPY and ADD","https://www.youtube.com/watch?v=mZQzzrWZSTU","2021-06-13",12085
"Docker - Tutorial 9 - Create an Image from a Dockerfile","https://www.youtube.com/watch?v=ydHdgf6KfPA","2021-06-06",12803
"Docker - Tutorial 8 - Creating Custom Images","https://www.youtube.com/watch?v=QFKcgN1BApA","2021-06-06",13538
"Docker - Tutorial 7 - Run a Command in a Running Container with exec","https://www.youtube.com/watch?v=QITUevjFtj0","2021-05-06",20563
"Docker - Tutorial 6 - Remove and Inspect Containers","https://www.youtube.com/watch?v=iYwRamunM6k","2021-05-04",11360
"Docker - Tutorial 5 - Logs, Stop, and Kill Containers","https://www.youtube.com/watch?v=lQDVVd3Mq_A","2021-05-03",13477
"Docker - Tutorial 3 - Default Commands","https://www.youtube.com/watch?v=yKUuCtSLwEM","2021-05-02",20409
"Docker - Tutorial 4 - List, Create, and Start Containers","https://www.youtube.com/watch?v=kCjsgOfNRc0","2021-05-02",17866
"Python Tutorial in 30 Minutes (Crash Course for Absolute Beginners)","https://www.youtube.com/watch?v=WEm3EUdicDg","2021-03-31",89436
"Docker - Tutorial 2 - Images, Containers, and Docker Server (Daemon)","https://www.youtube.com/watch?v=vhxnpsGHV30","2021-03-31",31411
"Docker - Tutorial 1 - Introduction (Download and Install)","https://www.youtube.com/watch?v=gFjxB0Jn8Wo","2021-03-30",119907
